_New;Nuevo
CleanColonDeleteBinFolders;Clean: Elimina carpetas BIN
CompileParameterBetweenQuotes;Compila '{0}'
TheCodeSigningCertificateCertificcateNameBetweenParenthesesMustBeSpecified;Debe especificarse el certificado de firma de código (CertificateName)
RunTestsColonParameterProjects;Ejecutar tests: {0} proyectos
TheFileHasNotBeenSignedColon;El fichero no se ha firmado:
TheFileIsAlreadySignedColon;El fichero ya está firmado:
TheAssemblyNameMustNotContainSpacesOrDots;El nombre del ensamblado no debe contener ni espacios ni puntos.
ItIsNecessaryToCompileColon;ES necesario compilar:
ThisProjectDoesNotHaveTheTestProjectDefined;ESte proyecto no tiene el proyecto de Tests definido.
APublishedVersionAlreadyExists;Existe una versión ya publicada  ({0}).
GenerateParameter;Genera {0}
GeneratingTemplateElipsis;Generando plantilla...
MoreTests;Más tests
MergeColonInParameter;Merge: En {0}
TheOrganizationCompanyBetweenParenthesesIsNotInformed;No esta informada la organización (Company)
ItDoesNotExistsTheFileParameterBetweenQuotes;No existe el fichero '{0}'
TheEnvironmentFileDoesNotExists;No existe el fichero de entorno ({0})
TheEulaParenthesesEndUserLicenseAgreementFileDoesNotExistsOrHasNotBeenDefined;No existe o no se ha definido el archivo EULA (End User License Agreement).
NotExistsColonParameter;No existe: {0}
PropertyPArameterBetweenQuotesasNotBeenProperlyAssignedInParameter;No se ha asignado corractamente la propiedad '{0}' en {1}
TheTrxFileOfResultsHasNotBeenCreatedColon;No se ha creado el fichero TRX de resultados:
TheFileHasNotCreatedColon;No se ha creado el fichero:
TheFolderHasNotBeenCreated;No se ha creado la carpeta:
TheContentSeedHasNotBeenCreated;No se ha creado la semilla de contenido:
NotCreated;No se ha creado: {0}
CannotFindParameterBetweenQuotesNiParameterBetweenQuotes;No se ha encontrado '{0}' ni '{1}'
TheGitDirectoryHasNotBeenSpecified;No se ha especificado el directorio GIT.
TheEnUserLicenseAgreementEulaBetweenParenthesesFileHasNotBeenSpecified;No se ha especificado el fichero de End User License Agreement (EULA)
TheNugetDotExeLocationHasNotBeenSpecified;No se ha especififcado la ubicación de nuget.exe
TheReleaseModeHasNotBeenSet;No se ha establecido el ReleaseMode.
TheUpgradeCodeHasNotBeenSet;No se ha establecido el UpgradeCode.
TheBackupFolderHasNotBeenSet;No se ha establecido la carpeta de backups
ItHasNotBeenSigned;No se ha firmado
TheExecutableHasNotBeenSignedColon;No se ha firmado el ejecutable:
TheThemeAssemblyHasNotBeenGenerated;No se ha generado el ensablado del tema.
TheMsiFileHasNotBeenGenerated;No se ha generado el fichero MSI.
TheWixobjFileHasNotBeenGenerated;No se ha generado el fichero WIXOBJ.
TheWxsFileHasNotBeenGenerated;No se ha generado el fichero WXS.
LaunchApplicationOnFinishWasNotReportedCorrectly;No se ha informado correctamente el LaunchApplicationOnFinish
TheManofacturerOfTheMsiCompanyBetweenParenthesesHasNotBeenInformed;No se ha informado el Manufacturer del MSI (Company)
TheFileHasNotBeenModifiedCorrectly;No se ha modificado correctamente el fichero:
TheReleasesFileHasNotBeenModified;No se ha modificado el fichero RELEASES
TheFolderParameterHasNotBeenFound;No se ha encontrado la carpeta {0}
TheLibraryHasNotBeenObfuscatedColon;No se ha ofuscado la librería:
CouldNotDetermineTheAssemblyNameParameterBetweenParentheses;No se ha podido determinar el nombre de ensamblado({0})
CouldNotDetermineTheFinalVersion;No se ha podido determinar la versión final
CouldNotDetermineTheInitialVersion;No se ha podido determinar la versión inicial
TheGitCredentialsHaveNotBeenSpecified;No se han especificado las credenciales de GIT.
CouldNotDownloadTheLogs;No se han podido descargar los logs
NotAllTestsHaveBeenPassed;No se han superado todas las pruebas ({0}).
CannotUploadTheFileBecauseItDoesNotExists;No se puede subir el fichero porque no existe.
NotAllProjectsHaveTheSameVersion;No todos los proyectos tienen la misma versión.
NugetSpecDoesNotHaveTheExpectedFormat;NugetSpec no tiene el formarto esperado.
NugetPackageColonParameter;Paquete Nuget: {0}
InstalledPrograms;Programas instalados
PropertyParameterBetweenQuotesNotFoundInParameter;Propiedad '{0}' no encontrada en {1}
SetVersionVersionUpperCasseBetweenSquareBracketsParenthesesParameterProjects;Set version [VERSION]({0} proyectos)
SetVersionParameterParenthesesParameterProjects;Set version {0} ({1} proyectos)
SetVersionColonFromParameterToParameterParenthesesInParameterProjects;Set Version: De {0} a {1} (en {2} proyectos)
TheReleaseFileIsOnlyUpdatedInDeployMsiAllUpperCase;SOLO SE ACTUALIZA EL FICHERO RELEASE EN DEPLOY MSI
ItIsOnlyAllowedTransformToHtmlFromTestResultFileDotTrxBetweenParentheses;Solo se permite transforma a HTML desde un fichero de resultado de test (.trx)
ReplaceTheMainColorWithParameter;Sustituye el color principal por {0}
TrxerColonCreateParameter;Trxer: Crea {0}
TheFileAlreadyExistsColon;Ya existe el fichero:
TheAssemblyNameCannotContainSpacesNorDots;El nombre del ensamblado no puede contener ni espacios ni puntos.
CredentialsAreMissingToPublishTheCalendar;Faltan credenciales para publicar el calendario.
Customer;Cliente
PurchaseInvoice;Factura de compra
Provider;Proveedor
NewCompanySl;Nueva empresa SL
PageParameterBetweenParenthesesColonParameterXParameterPx;- Página ({0}): {1}x{2}px
AskEnsureWantDeleteParameterBetweenQuotes;¿Está seguro que desea eliminar '{0}'?
Period;Ejercicio
TheCustomerMustHaveACode;El cliente debe tener un código.
TheLoadedReportNotUseSameCatalogAsCurrentReportAskWantContinueLoading;El informe cargado no utiliza el mismo catálogo que el informe actual.|¿Desea continuar con la carga?
ThePeriodMustHaveACode;El periodo debe de tener un código.
TheProviderMustHaveACode;El proveedor debe tener un código.
TheReceibtMustHaveACode;El recibo debe de tener un código.
GeneratingPdfOfParameterPages;Generando PDF de {0} páginas.
ReportLoadedSuccessfully;Informe cargado correctamente.
TheInvoiceMustHaveACode;La factura debe de tener un código.
TheSerieMustHaveACode;La serie debe de tener un código
CouldNotLoadTheReport;No se ha podido cargar el informe
TheActionNameMustBeSpecified;Se debe especificar el nombre de la acción.
TheInvoiceDateMustBeSpecified;Se debe especificar la fecha de la factura
TheReceibtDateMustBeSpecified;Se debe especificar la fecha del recibo
AnItemMustBeSelected;Se debe seleccionar un elemento.
SelectTheReportFile;Seleccione el archivo de informe
SelectAnItem;Seleccione un elemento
Serie;Serie
CustomerColon;Cliente:
Customers;Clientes
ClientCodeColon;Codigo de cliente:
PeriodCodeColon;Codigo de ejercicio:
ProviderCodeColon;Codigo de proveedor:
SerieCodeColon;Codigo de serie:
CompanyCodeColon;Código empresa:
Connect;Conectar
ConfigureScanner;Configurar escaner
Disconnect;Desconectar
DocumentsDirectory;Directorio de documentos
DocumentColon;Documento:
PeriodColon;Ejercicio:
Periods;Ejercicios
Company;Empresa
ItIsCurrentPeriod;Es ejercicio actual
ScanDocument;Escanear documento
PurchaseInvoices;Facturas de compra
AmountColon;Importe:
ReportColon;Informe:
NewFeminine;Nueva
CollectionNumberColon;Número de cobro:
InvoiceNumberColon;Número de factura:
ReceiptNumberColon;Número del recibo:
ProviderColon;Proveedor:
Providers;Proveedores
CollectionReceipts;Recibos de cobro
PaymentReceipts;Recibos de pago
SummaryColon;Resumen:
SerieColon;Serie:
Series;Series
DocumentTypeColon;Tipo de documento:
ShowDocument;Ver documento
ImageColon;Imagen:
SelectAlreadyExistingDocument;Seleccionar documento ya existente
SelectLocalDocument;Seleccionar documento local
CouldNotExecuteTheReportDueTheFollowingErrorColonParameter;El informe no se ha podido ejecutar por el siguiente error:||{0}
ThereWasAnErrorRenamingTheFileColonParameter;Ha habido un error al renombrar el fichero:||{0}
ItWasNotPossibleToOpenTheProjectColonParameter;No ha sido posible abrir el proyecto:||{0}
TheProcedureParameterBetweenQuotesHasNotBeenFoundCheckNoErrorInFileWhereIsDefined;No se ha encontrado el procedimiento '{0}'.|Compruebe que no hay ningún error en el fichero donde está definido.
TheFollowingFilesHaveBeenRestoredColonParameter;Se han restaurado los siguientes archivos:||{0}
GeneralBetweenParentheses;(General)
ParameterParenthesesLineParameter;{0} (línea {1})
ParameterFiles;{0} ficheros
ParameterVisibles;{0} visibles
ParameterVisible;{0} visible
DoubleHyphenParameter;--{0}
AskEnsureWantDeleteTheFile;¿Estás seguro que quiere eliminar el fichero?
AskWantRenameThisFileToParameter;¿Quieres renombrar este fichero a '{0}'?
ManageEnvironments;Administrar entornos
Files;Archivos
ProjectFiles;Archivos de proyecto
AttributesOfParameter;Atributos de {0}
AutoRename;Autorenombrar
DeleteParameterColumns;Borrar {0} columnas
DeleteParameterRelationships;Borrar {0} relaciones
Load;Carga
CloseAll;Cerrar todos
CloseAllSaved;Cerrar todos los guardados
CloseAllTemporals;Cerrar todos los temporales
CopyingSiteResources;Copiando los recursos del sitio
ConvertTo;Convertir en
CreatingTheHtmlFile;Creando el fichero html
CronoEtlCannotDetermineADefaultNameForThisFile;Crono ETL no puede determinar un nombre predeterminado para este fichero
YouMustSelectAnEnvironment;Debe seleccionar un entorno
DropProcedureParameter;DROP PROCEDURE {0}
DropTableParameter;DROP TABLE {0}
DropViewParameter;DROP VIEW {0}
EditSQLFreely;Editar SQL libre
SqlEditor;Editor SQL
ExecuteThisJob;Ejecuta este trabajo
TheSelectedDirectoryIsAlreadyAWebDirectory;El directorio seleccionado ya es un directorio web.
TheFileNameAlreadyMatchesTheDefaultName;El nombre del fichero ya coincide con el nombre predeterminado.
TheProcedureParameterBetweenQuotesNotFoundProbablyHasBeenDeletedOrRenamedUpdateOneLevelAboveElipsis;El procedimiento '{0}' no se ha encontrado probablemente haya sido eliminado o renombrado, actualice un nivel por encima...
TheProcedureDoesNotExist;El procedimiento no existe.
TheParentProcedureCannotBeNull;El procedimiento padre no puede ser nulo.
TheProjectHasBeenModifiedByExternalApplicationAtThisTimeIsRecommendedCloseAndReopenProject;El proyecto ha sido modificado por una aplicación externa, en este momento, se recomienda cerrar y reabrir el proyecto
ErrorReloadingTheFile;Error al recargar el fichero.
ThisProjectDoesNotHaveMainProcedure;Este proyecto no tiene MAIN PROCEDURE.
ThisProjectHaveSeveralMainProcedure;Este proyecto tiene varios MAIN PROCEDURE.
Strategy;Estrategia
ExcludeFromTheProject;Excluir del proyecto
ExecuteFromHere;EXECUTE desde aquí
HtmlFileCreatedSuccessfully;Fichero HTML creado correctamente
_Function;Función
GeneratingFile;Generando archivo
GeneratingHtml;Generando HTML
GenerateStaticWeb;Generar web estática
TheGenerationOfTheStaticWebHasFinished;Ha finalizado la generación de la web estática.
ExecutionHistory;Historial ejecución
ProjectImplementation;Implementación proyecto
ImplementParameter;Implementar {0}
ImplementFlow;Implementar flujo
ImplementFlowAndExecute;Implementar flujo y ejecutar
ImplementProject;Implementar proyecto
ImplementProjectAndExecute;Implementar proyecto y ejecutar
IncludeInTheProject;Incluir en el proyecto
Index;Índice
Indices;Índices
SqlReports;Informes SQL
RepeatedInstruction;Instruccion repetida.
GoToDefinition;Ir a definición
LineParameterColumnParameter;Línea {0}, Columna {1}
TheNamesOfTheTablesOfThisDatabaseHaveBeenCopiedIntoTheClipboard;Los nombres de las tablas de esta base de datos se han copiado el portapapeles.
TheNamesOfTheTablesOfThisSchemeHaveBeenCopiedIntoTheClipboard;Los nombres de las tablas de este esquema se han copiado el portapapeles.
TheNamesOfTheFieldsOfThisTableHaveBeenCopiedIntoTheClipboard;Los nombres de los campos de esta tabla se han copiado el portapapeles.
TheFollowingParameterFilesHaveCrossDependenciesColon;Los siguientes {0} ficheros tienen dependencias cruzadas:
ShowProjectFiles;Mostrar archivos del proyecto
ShowDiagram;Mostrar diagrama
ShowCallFlowOfTheMainProcedures;Mostrar flujo de llamadas de los procedimientos principales
ShowProcedureList;Mostrar lista de procedimientos
ItIsNotPosibleToSortTheFilesOfThisDeploy;No es posible ordenar los ficheros de este deploy.
ItIsNotPossibleToAutomaticallyRenameThisFileAnotherFileCalledParameterBetweenParenthesesAlreadyExists;No es posible renombrar automáticamente este archivo. Ya existe otro archivo llamado '{0}'
DoesNotExistsSelectedProject;No existe proyecto seleccionado.
ItWasNotPossibleToObtainTheKeyListOfTableParameter;No ha sido posible obtener el listado de claves de la tabla {0}
ItWasNotPossibleToObtainTheColumnListOfTableParameter;No ha sido posible obtener el listado de columnas de la tabla {0}
CatalogNotDefined;No se ha definido el catálogo
NoItemWithIdParameterBetweenQuotesHasBeenFound;No se ha encontrado ningún elemento con el id '{0}'
TheVisualizationModeParameterHasNotBeenImplemented;No se ha implementado la visualización en modo {0}
CouldNotOpenProjectColonParameterBetweenQuotes;No se ha podido abrir el proyecto: '{0}'
CouldNotGenerateTheWeb;No se ha podido generar la web.
CannotCreateTheFileWithTheEnteredParameters;No se puede crear el fichero con los parámetros introducidos.
CannotRenameFileBecauseAnotherFileNamedParameterBetweenQuotesAlreadyExists;No se puede renombrar este archivo porque ya existe otro archivo llamado '{0}'
AttributeName;Nombre del atributo
NewColumn;Nueva columna
NewPage;Nueva página
NewAttribute;Nuevo atributo
NewJob;Nuevo trabajo
Sources;Orígenes
Others;Otros
Pages;Páginas
ProblemParsingColonParameter;Problema al parsear: {0}
Procedure;Procedimiento
Procedures;Procedimientos
ReloadingSiteComponents;Recargando componentes del sitio
Restriction;Restricción
Restrictions;Restricciones
Routes;Rutas
TheItemIdMustBeSpecified;Se debe especificar el id del elemento.
AnEnvironmentMustBeSelected;Se debe seleccionar un entorno.
ASiteMustBeSelected;Se debe seleccionar un site.
ATemporaryCopyOfTheModifiedFilesHasBeenSavedCanRecoverFilesNextTimeOpenThisProject;Se ha guardado una copia temporal de los archivos modificados, podrá recuperar estos ficheros la próxima vez que abra este proyecto.
TheStaticWebGenerationHasStarted;Se ha iniciado la generación de la web estática.
SelectTheWebOfTheNewFile;Seleccione la web del nuevo archivo
SelectTheKeysToDelete;Seleccione las claves a eliminar
SelectTheColumnsToDelete;Seleccione las columnas a eliminar
FileSizeBytesBetweenParentheses;Tamaño del fichero (bytes)
Tasks;Tareas
TemporaryParameter;Temporal {0}
HasErrors;Tiene errores
Jobs;Trabajos
TruncateTableAndDependencies;TRUNCATE TABLE y dependencias
UseTableRow;Usar TABLE ROW
Variables;Variables
Show;Ver
Web;Web
ParenthesesNoneSelected;(Ninguno seleccionado)
OpenWindowsTaskScheduler;Abrir el programador de tareas de Windows
OpenProject;Abrir proyecto
OpenElipsis;Abrir...
AttributesColon;Attributos:
ChangeType;Cambiar tipo
JobsFolderColon;Carpeta de jobs:
Code;Código
SmtpAccount;Cuenta SMTP
Details;Detalles
ExecuteMainProcedure;Ejecutar procedimiento principal
DeleteEnvironment;Eliminar entorno
ProjectEnvironment;Entorno proyecto
EndTimeColon;Hora de finalización:
StartTimeColon;Hora de inicio:
Implementation;Implementación
ImplementMainProcedure;Implementar procedimiento principal
ImplementMainProcedureAndExecute;Implementar procedimiento principal y ejecutar
Bottom;Inferior
Instruction;Instruccion
CheckBoxesOfButtonsYouWantToUseInProject;Marque las casillas de aquellos botones que desea usar en su proyecto
EditEnvironment;Modificar entorno
NavigateBackwards;Navegar hacia atras
NavigateForward;Navegar hacia delante
ItIsNotPossibleRepresentDiagramOfThisTypeOfQuery;No es posible representar el diagrama de este tipo de consulta
NewSqlAction;Nueva acción SQL
NewProject;Nuevo proyecto
NewEtlProject;Nuevo proyecto ETL
ProcedureColon;Procedimiento:
Processes;Procesos
ComponentPropertiesColon;Propiedades del componente:
Project;Proyecto
RecentProjects;Proyectos recientes
UrlPathOfThePageColon;Ruta URL de la página:
EnvironmentSubstitutionsColon;Sustituciones del entorno:
Text;Texto
Components;Componentes
DeleteTableAndDependences;DELETE TABLE y dependencias
DropTableAndDependences;DROP TABLE y dependencias
ThereAreColumnsThatUseQueryFieldsThatHaveBeenDeletedAskWantDeleteTheseColumns;Existen columnas que usan campos de la consulta que han sido borrados.|¿Desa borrar estas columnas?||{0}
TheFollowingPropertiesWillBeLostAskChangeToParameterLineBreakParameter;Las siguientes propiedades se perderán.|¿Cambiar a {0}?||{1}
TheNameOfTheUpdateDateColumnIsNotValid;El nombre de la columna fecha de actualización no es válido.
TheNameOfTheDeleteDateColumnIsNotValid;El nombre de la columna fecha de eliminación no es válido.
TheNameOfTheInsertDateColumnIsNotValid;El nombre de la columna fecha de inserción no es válido.
AuditFields;Campos de auditoría
UpdateDateColon;Fecha de actualización:
DeletionDateColon;Fecha de eliminación:
InsertionDateColon;Fecha de inserción:
EtlOptions;Opciones ETL
TheFolderParameterBetweenQuotesDoesNotExist;La carpeta '{0}' no existe.
Environments;Entornos
NewEnvironment;Nuevo entorno
TheFileNoLongerExists;El fichero ya no existe.
ThisFileTypeCannotBeEditedWithCronoEtl;Este tipo de fichero no puede editarse con Crono ETL.
LimitResultsCountToColon;Limitar número de resultados a:
AllowSavingFilesWithSyntaxErrors;Permitir guardar ficheros con errores de sintaxis.
EnvironmentProperties;Propiedades de entorno
CopyFolderPath;Copiar ruta de la carpeta
ANameForThisEnvironmentMustBeEstablished;Es necesario establecer un nombre para este entorno.
DuplicateEnvironment;Duplicar entorno
CloseAllButThis;Cerrar todos excepto el actual
CannotCreateNewProjectInSelectedPathBecauseAlreadyContainsProjectOrItIsInsideAnotherProject;No se puede crear un nuevo proyecto en la ruta seleccionada porque ya contiene un proyecto o está dentro de otro proyecto
NoProjectExistsInTheSelectedPathAskCreateItNow;No exite ningún proyecto en la ruta seleccionada. ¿Desea crearlo ahora?
CopyFileFullPath;Copiar ruta completa del archivo
CopyFileName;Copiar nombre del archivo
OpenFileLocation;Abrir la ubicación del archivo
TheFileParameterBetweenQuotesHasBeenModifiedFromAnotherApplicationAskWantReloadFile;El fichero '{0}' ha sido modificado desde otra aplicación. ¿Desea recargar el fichero?
ReloadFromDisc;Recargar desde disco
AskEnsureWantReloadFileAndLoseChanges;¿Está seguro que desea recargar el fichero y perder los cambios realizados?
YoMustSaveChangesBeforeSettingThisFileOnReadonlyMode;Debe guardar los cambios antes de poner este fichero en modo de solo lectura.
TheFileParameterBetweenQuotesContainsSyntaxErrors;El fichero '{0}' contiene errores de sintaxis.
AskEnsureWantSaveItWithErrors;¿Está seguro que desea guardarlo con errores?
ItIsNotPossibleToSaveTheFileParameterBetweenQuotesBecauseItContainsSyntaxErrorsCheckCodeAndTryItAgain;No es posible guardar el fichero '{0}' porque contiene errores de sintaxis. Revise el código e inténtelo de nuevo.
YouCanChangeThisSettingFromTheProjectProperties;Puede cambiar esta configuración desde las propiedades del proyecto.
ProjectProperties;Propiedades de proyecto
OneRow;1 fila
OneColumn;1 columna
AnErrorOccurredDuringQueryExecution;Ha ocurrido un error durante la ejecución de la consulta.
QueryExecutedSuccessfullyAt;Consulta ejecutada correctamente a las
ThereWasAProblemGettingTheDataFromParameter;Ha ocurrido un problema al obtener los datos de||{0}
CouldNotReadOrAddTheXmlSchemaOfTheTable;No se ha podido leer o agregar el esquema XML de la tabla.||{0}
LoadingCronoBindings;Cargando crono bindings
TheFilePropertyMustBeSpecified;Debe especificarse la propiedad 'File'
TheOutputPropertyMustBeSpecified;Debe especificarse la propiedad 'Output'
UnexpectedErrorTheCatalogOfTheQueryHasNotBeenLocated;Error imprevisto. No se ha localizado el catálogo del la consulta.
ItIsNotPosibleToEditThisQuery;No es posible editar esta consulta.
CouldNotLocateTheMappingParameter;No se ha podido localizar el mapping {0}
CouldNotReestablishTheFilterThatThereWasInTheCoulumnParameter;No se ha podido reestablecer el filtro que había en la columna {0}
CannotEditTheCurrentTableBecauseItWasNotGeneratedWithCronoExcel;No se puede editar la tabla actual porque no se ha generado con Crono Excel
WorkbookProperties;Propiedades del libro
Loads;Cargas
SourceTableNameColon;Nombre tabla de origen:
DestinationTableName;Nombre tabla de destino:
PreprocessCodeColon;Código preproceso:
PostprocessCodeColon;Código postproceso
CouldNotFindTableParameterBetweenQuotesInThisWorkbook;No se ha encontrado la tabla '{0}' en este libro.
ThereIsAProblemWithThePreprocessCode;Hay un problema con el código de preproceso.
ThereIsAProblemWithThePostprocessCode;Hay un problema con el codigo de postprocesado.
TimeTableUsageInformation;La configuración de la tabla de tiempo sirve para calcular valores TD, YTD, QTD y MTD. Una vez definida la tabla de tiempo, se pueden utilizar las funciones td(), ytd(), qtd() y mtd() en el catálogo.||Esta funcionalidad requiere que la base de datos soporte la sintaxis ANSI (incluyendo la cláusula WITH y las funciones de ventana OVER).
GeographicalDimensionsUsageInformation;Las dimensiones geográficas permiten realizar gráficos de tipo mapa. Existen tres tipos de mapas que pueden representarse: De burbuja, de tarta, o de regiones coloreadas.||La latitud y longitud de cada valor de la dimensión se utilizará para realizar los gráficos geográficos de tipo burbuja y de tipo tarta. El mapa personalizado se utiliza para identificar las formas (shapes) de cada región en los mapas coloreados.
TimeTableFieldsOrderUsageInformation;Seleccione y ordene los campos relevantes para la ordenación del tiempo (Ejemplo: Año, semestre, trimestre, num_mes, fecha, dia).|Esta información se utilizará para calcular los acumulados temporales (TD, YTD, QTD, MTD).
AskWantToCheckTheseParameterJoinsLastVerificationDateColonParameterLastVerificationTimeColonParameterSeconds;¿Desea verificar estas {0} relaciones?|Fecha última verificación: {1}|Tiempo última verificación: {2} segundos
CalculatingDataTypeOfTheBusinessItemsThisActionOnlyNecessaryOncePerCatalog;Calculando tipo de dato de los elementos de negocio.|Esta acción solo es necesaria una vez por catálogo.
TheCurrentDiagramIsAlreadyUsingTheTableParameterBetweenQuotesAskWantChooseNewAliasForTableParameterBetweenQuotes;El diagrama actual ya está utilizando la tabla '{0}'.||¿Desea escoger un nuevo alias para la tabla '{1}'?
TheFollowingTablesAreOutdatedColonParameter;Las siguientes tablas estan desactualizadas:|{0}
ProblemCheckingParameterParameter;Problema al verificar {0}|{1}|
ParameterBetweenQuotesSuccessfullyVerified;'{0}' verificado correctamente
AskWantToUpdateThem;¿Desea actualizarlas?
AskEnsureWantDeleteThisStarColonParameterBetweenQuotes;¿Está seguro que desea borrar esta estrella: '{0}'?
UpdateTables;Actualizar tablas
SomeBusinessItemIsNotValidUseFunctionalityVerifyBusinessItemsToLearnMoreDetails;Algún elemento de negocio no es válido. Utilice la funcionalidad verificar elementos de negocio para conocer más detalles.
SomeNestedObjectContainsErrors;Algún objeto anidado contiene errores
SomeJoinHasVerificationProblems;Algúna relación tiene problemas de verificación.
_Alias;Alias
ChangeTheAliasOfThisTable;Cambiar el alias de esta tabla
ChangeItemType;Cambiar tipo de elemento
Fields;Campos
ImportedFields;Campos importados
CountValues;Contar valores
ConvertToIndicator;Convertir en indicador
ConvertIntoIndicators;Convertir en indicadores
Coordinates;Coordenadas
CreateSnowflake;Crear copo de nieve
CreateSnowflakeParenthesesWithAlias;Crear copo de nieve (con alias)
DataProfile;Data profile
YouMustSpecifyANameForThisFolder;Debe especificar un nombre para esta carpeta.
YouMustSelectAtLeastOneFieldFromTheTwoTablesInOrderToGenerateTheJoin;Debe seleccionar al menos 1 campo de las dos tablas para generar la join
YouMustSelectTheMapFieldByWhichItLinksToTheDimension;Debe seleccionar el campo del mapa por el que se enlaza con la dimensión
YouMustSelectAnImportedField;Debe seleccionar un campo importado
DuplicateItem;Duplicar elemento
FormulaEditor;Editor de formulas
TheFieldParameterDoesNotExistInTheDatabase;El campo {0} no existe en la base de datos
TheFieldUsedByTheBusinessItemParameterBetweenQuotesIsNotImported;El campo utilizado por el elemento de negocio '{0}' no está importado
TheBusinessItemParameterBetweenQuotesHasARepeatedGuid;El elemento de negocio '{0}' tiene un guid repetido
TheBusinessItemNameParameterBetweenQuotesIsNotValid;El nombre de elemento de negocio '{0}' no és válido
DeleteJoin;Eliminar relación
InTheDefinitionOfBusinessItemParameterBetweenQuotesParameterNotDefinedParametersAreBeingUsed;En la definición del elemento de negocio '{0}' se usan parámetros que no se han definido.
ThisJoinHasNotBeenVerified;Este join no se ha verificado
FilterTables;Filtrar tablas
ThereIsSomeErrorInTheJoinDefinition;Hay algún error en la definición de la join
ImportTable;Importar tabla
ImportTableParenthesesWithAlias;Importar tabla (con alias)
TheWhereClauseCannotBeEmpty;La clausula where no puede estar vacía.
TheDefinitionOfTheBusinessItemParameterBetweenQuotesContainsErrors;La definición del elemento de negocio '{0}' contiene errores
TheTableStructureDoesNotCorrespondWithTheOneAtTheDatabase;La estructura de la tabla no se corresponde con la de la base de datos
TheExpressionMustBeAFilter;La expresión debe ser un filtro
TheSelectionMustBeADatabaseTable;La selección debe ser una tabla de la base de datos
TheGeographicSqlIsBadDefined;La sql geográfica está mal definida
TheTableParameterBetweenQuotesIsNotFoundInAnyDiagram;La tabla '{0}' no se encuentra en ningún diagrama.
TheTableHasTheCorrectStructure;La tabla tiene la estructura correcta.
TheDocumentationUrlDoesNotHaveValidFormat;La url de documentación no tiene un formato valido
CouldNotUpdateTheFollowingTables;Las siguientes tablas no se han podido actualizar: {0}
LocateTableInDiagram;Localizar tabla en diagrama
TheCurrentFieldsDoNotMatchThoseInTheDatabaseAskWantReloadThem;Los campos actuales no coinciden con los de la base de datos, ¿Desea recargarlos?
TheBusinessItemsHaveBeenCheckedSuccessfully;Los elementos de negocio se han verificado correctamente
ShowError;Mostrar error
ItHasNotBeenPossibleAccessSampleCatalogsCheckInternetConnectionIfProblemPersistsContactUsAtEmail;No ha sido posible acceder a los catálogos de ejemplo, compruebe su conexión a internet, si el problema persiste pongase en contacto con nosotros en info@crono.net
ACatalogHasNotBeenSetToTheEditor;No se le ha asignado un catálogo al editor
CustomMapAttributeHasNotBeenConfigured;No se ha configurado el atributo del mapa personalizado
TheFieldWithTheMapIdHasNotBeenConfigured;No se ha configurado el campo con el id del mapa
NoTableNamedParameterBetweenQuotesHasBeenFoundInTheDatabase;No se ha encontrado ninguna tabla en la base de datos con el nombre '{0}'
CouldNotOpenCatalogParameterBetweenQuotes;No se ha podido abrir el catálogo ""{0}""
CouldNotConnectToTheDatabase;No se ha podido conectar con la base de datos.
CouldNotRelateAnyTableWithThisBusinessItem;No se ha podido relacionar ninguna tabla con este elemento de negocio.
NoChangesDetectedInTableParameterBetweenQuotes;No se han detectado cambios en la tabla '{0}'
CouldNotLoadTheMapFiles;No se han podido cargar los ficheros de mapa
CannotChangeItemTypeWhenFoldersAndBusinessITemsHaveBeenSelectedAtTheSameTime;No se puede cambiar el tipo de elemento cuando se han seleccionado carpetas y elementos de negocio al mismo tiempo.
CannotLoadTheDbfMapFile;No se puede cargar el fichero de mapa .dbf
CannotLoadTheShpMapFile;No se puede cargar el fichero de mapa .shp
CannotCheckTheInformationOfTheTableParameterBetweenParenthesesBecauseItWasNotPossibleToAccessDatabase;No se puede contrastar la informacion de la tabla '{0}' porque no ha sido posible acceder a la base de datos
CannotCreateThisJoinsBecausePathFromParameterToPArameterAlreadyExistsAndCircularJoinWouldBeCreated;No se puede crear esta relación porque ya existe un camino desde '{0}' a '{1}' y se crearía una relación circular.
ObjectNameInParameter;Nombre del objeto en {0}
NewAlias;Nuevo alias
NewAliasColon;Nuevo alias:
NewCatalog;Nuevo catálogo
NewSnowflake;Nuevo copo de nieve
SortBy;Ordenar por
OrderByNotLocalized;Order by
InOrderToCalculateJoinAutomaticallyIsNecessarySelectSameNumberOfFieldsInTheTwoTables;Para calcular automáticamente la join es necesario seleccionar el mismo número de campos en las dos tablas.
CatalogProperties;Propiedades de catálogo
JoinProperties;Propiedades de relación
TableProperties;Propiedades de tabla
RecalculateDefaultFormat;Recalcular formato predeterminado
TheStructureOfTheTableParameterBetweenParenthesesHasBeenUpdated;Se ha actualizado la estructura de la tabla '{0}'
ErrorsHaveBeenFoundInSomeBusinessItems;Se han encontrado errores en algún elemento de negocio
SelectField;Seleccionar campo
SelectTheFactTableOfTheNewSnowflake;Seleccione la tabla de hechos del nuevo copo de nieve.
CustomSql;SQL personalizada
FactTable;Tabla de hechos
ImportedTables;Tablas importadas
ItemType;Tipo de elemento
AllJoinsHaveBeenVerifiedCorrectly;Todas las relaciones se han verificado correctamente.
