_New	Nou
ThisReportDoesNotHasCatalogSpecifyTheCatalogInOrderToUseTheReport	Aquest informe no té catàleg. Especifiqueu el catàleg per poder utilitzar l'informe.
ShowSheets	Mostra fulles
HideSheets	Amaga fulles
CurrentlyOnlyUniqueProjectsAreSupportedTwo	Actualment només es suporten projectes únicos.2
SomethingIsNotRightParameterBetweenParentheses	Alguna cosa no està bé ({0}).
SomethingWentWrongParameterBetweenParenthesesParameterBetweenParentheses	Alguna cosa no ha anat bé ({0}) ({1}).
ApplyingTemplateToTheTestFile	Aplicant plantilla a el fitxer de test
LoadingCssElipsis	Carregant css ...
LoadingJsElipsis	Carregant js ...
CleanColonDeleteBinFolders	Clean: Elimina carpetes BIN
CompileParameterBetweenQuotes	Compila '{0}'
TheCodeSigningCertificateCertificcateNameBetweenParenthesesMustBeSpecified	Cal especificar el certificat de signatura de codi (CertificateName)
RunTestsColonParameterProjects	Executar tests: {0} projectes
TheFileHasNotBeenSignedColon	El fitxer no s'ha signat:
TheFileIsAlreadySignedColon	El fitxer ja està signat:
TheAssemblyNameMustNotContainSpacesOrDots	El nom de l'acoblament no ha de contenir ni espais ni punts.
ItIsNecessaryToCompileColon	ÉS necessari compilar:
ThisProjectDoesNotHaveTheTestProjectDefined	Aquest projecte no té el projecte de Tests definit.
APublishedVersionAlreadyExists	Hi ha una versió ja publicada ({0}).
GenerateParameter	Genera {0}
GeneratingTemplateElipsis	Generant plantilla ...
MoreTests	Més tests
MergeColonInParameter	Merge: En {0}
TheOrganizationCompanyBetweenParenthesesIsNotInformed	No aquesta informada l'organització (Company)
ItDoesNotExistsTheFileParameterBetweenQuotes	No existeix el fitxer '{0}'
TheEnvironmentFileDoesNotExists	No existeix el fitxer d'entorn ({0})
TheEulaParenthesesEndUserLicenseAgreementFileDoesNotExistsOrHasNotBeenDefined	No existeix o no s'ha definit l'arxiu EULA (End User License Agreement).
NotExistsColonParameter	No existeix: {0}
PropertyPArameterBetweenQuotesasNotBeenProperlyAssignedInParameter	No s'ha assignat corractament la propietat '{0}' a {1}
TheTrxFileOfResultsHasNotBeenCreatedColon	No s'ha creat el fitxer TRX de resultats:
TheFileHasNotCreatedColon	No s'ha creat el fitxer:
TheFolderHasNotBeenCreated	No s'ha creat la carpeta:
TheContentSeedHasNotBeenCreated	No s'ha creat la llavor de contingut:
NotCreated	No s'ha creat: {0}
CannotFindParameterBetweenQuotesNiParameterBetweenQuotes	No s'ha trobat '{0}' ni '{1}'
TheGitDirectoryHasNotBeenSpecified	No s'ha especificat el directori GIT.
TheEnUserLicenseAgreementEulaBetweenParenthesesFileHasNotBeenSpecified	No s'ha especificat el fitxer de End User License Agreement (EULA)
TheNugetDotExeLocationHasNotBeenSpecified	No s'ha especififcado la ubicació de nuget.exe
TheReleaseModeHasNotBeenSet	No s'ha establert el ReleaseMode.
TheUpgradeCodeHasNotBeenSet	No s'ha establert el UpgradeCode.
TheBackupFolderHasNotBeenSet	No s'ha establert la carpeta de backups
ItHasNotBeenSigned	No s'ha signat
TheExecutableHasNotBeenSignedColon	No s'ha signat l'executable:
TheThemeAssemblyHasNotBeenGenerated	No s'ha generat el ensablado del tema.
TheMsiFileHasNotBeenGenerated	No s'ha generat el fitxer MSI.
TheWixobjFileHasNotBeenGenerated	No s'ha generat el fitxer WIXOBJ.
TheWxsFileHasNotBeenGenerated	No s'ha generat el fitxer WXS.
LaunchApplicationOnFinishWasNotReportedCorrectly	No s'ha informat correctament el LaunchApplicationOnFinish
TheManofacturerOfTheMsiCompanyBetweenParenthesesHasNotBeenInformed	No s'ha informat el fabricant de l'MSI (Company)
TheFileHasNotBeenModifiedCorrectly	No s'ha modificat correctament el fitxer:
TheReleasesFileHasNotBeenModified	No s'ha modificat el fitxer releases
TheFolderParameterHasNotBeenFound	No s'ha trobat la carpeta {0}
TheLibraryHasNotBeenObfuscatedColon	No s'ha ofuscat la llibreria:
CouldNotDetermineTheAssemblyNameParameterBetweenParentheses	No s'ha pogut determinar el nom d'acoblament ({0})
CouldNotDetermineTheFinalVersion	No s'ha pogut determinar la versió final
CouldNotDetermineTheInitialVersion	No s'ha pogut determinar la versió inicial
TheGitCredentialsHaveNotBeenSpecified	No s'han especificat les credencials de GIT.
CouldNotDownloadTheLogs	No s'han pogut descarregar els logs
NotAllTestsHaveBeenPassed	No s'han superat totes les proves ({0}).
CannotUploadTheFileBecauseItDoesNotExists	No es pot pujar el fitxer perquè no existeix.
NotAllProjectsHaveTheSameVersion	No tots els projectes tenen la mateixa versió.
NugetSpecDoesNotHaveTheExpectedFormat	NugetSpec no té el formarto esperat.
NugetPackageColonParameter	Paquet Nuget: {0}
InstalledPrograms	Programes instal·lats
PropertyParameterBetweenQuotesNotFoundInParameter	Propietat '{0}' no trobada en {1}
SetVersionVersionUpperCasseBetweenSquareBracketsParenthesesParameterProjects	Setembre versio [VERSION] ({0} projectes)
SetVersionParameterParenthesesParameterProjects	Setembre versió {0} ({1} projectes)
SetVersionColonFromParameterToParameterParenthesesInParameterProjects	Setembre Version: De {0} a {1} (en {2} projectes)
TheReleaseFileIsOnlyUpdatedInDeployMsiAllUpperCase	NOMÉS S'ACTUALITZA EL FITXER RELEASE A DEPLOY MSI
ItIsOnlyAllowedTransformToHtmlFromTestResultFileDotTrxBetweenParentheses	Només es permet transforma a HTML des d'un fitxer de resultat de test (.trx)
ReplaceTheMainColorWithParameter	Substitueix el color principal per {0}
TrxerColonCreateParameter	Trxer: Crea {0}
TheFileAlreadyExistsColon	Ja existeix el fitxer:
TheAssemblyNameCannotContainSpacesNorDots	El nom de l'acoblament no pot contenir ni espais ni punts.
CredentialsAreMissingToPublishTheCalendar	Falten credencials per publicar el calendari.
Customer	Client
PurchaseInvoice	Factura de compra
Provider	Proveïdor
NewCompanySl	Nova empresa SL
PageParameterBetweenParenthesesColonParameterXParameterPx	- Pàgina ({0}): {1} x {2} px
AskEnsureWantDeleteParameterBetweenQuotes	Esteu segur que voleu suprimir '{0}'?
Period	Exercici
TheCustomerMustHaveACode	El client ha de tenir un codi.
TheLoadedReportNotUseSameCatalogAsCurrentReportAskWantContinueLoading	L'informe carregat no utilitza el mateix catàleg que l'informe actual.|Voleu continuar amb la càrrega?
ThePeriodMustHaveACode	El període deu tenir un codi.
TheProviderMustHaveACode	El proveïdor ha de tenir un codi.
TheReceibtMustHaveACode	El rebut deu tenir un codi.
GeneratingPdfOfParameterPages	Generant PDF de {0} pàgines.
ReportLoadedSuccessfully	Informe carregat correctament.
TheInvoiceMustHaveACode	La factura ha de tenir un codi.
TheSerieMustHaveACode	La sèrie deu tenir un codi
CouldNotLoadTheReport	No s'ha pogut carregar l'informe
TheActionNameMustBeSpecified	S'ha d'especificar el nom de l'acció.
TheInvoiceDateMustBeSpecified	S'ha d'especificar la data de la factura
TheReceibtDateMustBeSpecified	S'ha d'especificar la data de el rebut
AnItemMustBeSelected	S'ha de seleccionar un element.
SelectTheReportFile	Seleccioneu el fitxer d'informe
SelectAnItem	Seleccioneu un element
Serie	Sèrie
CustomerColon	Client:
Customers	Clients
ClientCodeColon	Codi de client:
PeriodCodeColon	Codi d'exercici:
ProviderCodeColon	Codi de proveïdor:
SerieCodeColon	Codi de sèrie:
CompanyCodeColon	Codi empresa:
Connect	Connectar
ConfigureScanner	Configura escàner
Disconnect	Desconnectar
DocumentsDirectory	Directori de documents
DocumentColon	Document:
PeriodColon	Exercici:
Periods	Exercicis
Company	Empresa
ItIsCurrentPeriod	És exercici actual
ScanDocument	Escanejar document
PurchaseInvoices	Factures de compra
AmountColon	Import:
ReportColon	Informe:
NewFeminine	Nova
CollectionNumberColon	Nombre de cobrament:
InvoiceNumberColon	Número de factura:
ReceiptNumberColon	Nombre de el rebut:
ProviderColon	Proveïdor:
Providers	Proveïdors
CollectionReceipts	Rebuts de cobrament
PaymentReceipts	Rebuts de pagament
SummaryColon	Resum:
SerieColon	Sèrie:
Series	Sèries
DocumentTypeColon	Tipus de document:
ShowDocument	Veure document
ImageColon	Imatge:
SelectAlreadyExistingDocument	Seleccionar document ja existent
SelectLocalDocument	Seleccionar document local
CouldNotExecuteTheReportDueTheFollowingErrorColonParameter	L'informe no s'ha pogut executar pel següent error:||{0}
ThereWasAnErrorRenamingTheFileColonParameter	Hi ha hagut un error a l'reanomenar el fitxer:||{0}
ItWasNotPossibleToOpenTheProjectColonParameter	No ha estat possible obrir el projecte:||{0}
TheProcedureParameterBetweenQuotesHasNotBeenFoundCheckNoErrorInFileWhereIsDefined	No s'ha trobat el procediment '{0}'.|Comproveu que no hi ha cap error en el fitxer on està definit.
TheFollowingFilesHaveBeenRestoredColonParameter	S'han restaurat els següents arxius:||{0}
GeneralBetweenParentheses	(General)
ParameterParenthesesLineParameter	{0} (línia {1})
ParameterFiles	{0} fitxers
ParameterVisibles	{0} visibles
ParameterVisible	{0} visible
DoubleHyphenParameter	- {0}
AskEnsureWantDeleteTheFile	Estàs segur que vol eliminar el fitxer?
AskWantRenameThisFileToParameter	Vols canviar el nom aquest fitxer a '{0}'?
ManageEnvironments	Administrar entorns
Files	Arxius
ProjectFiles	Arxius de projecte
AttributesOfParameter	Atributs de {0}
AutoRename	Autorenombrar
DeleteParameterColumns	Esborrar {0} columnes
DeleteParameterRelationships	Esborrar {0} relacions
Load	Càrrega
CloseAll	Tancar tots
CloseAllSaved	Tancar tots els guardats
CloseAllTemporals	Tancar tots els temporals
CopyingSiteResources	Copiant els recursos de el lloc
ConvertTo	Convertir a
CreatingTheHtmlFile	Creant el fitxer html
CronoEtlCannotDetermineADefaultNameForThisFile	Crono ETL no pot determinar un nom predeterminat per a aquest fitxer
YouMustSelectAnEnvironment	Ha de seleccionar un entorn
DropProcedureParameter	DROP PROCEDURE {0}
DropTableParameter	DROP TABLE {0}
DropViewParameter	DROP VIEW {0}
EditSQLFreely	Edita SQL lliure
SqlEditor	Editor SQL
ExecuteThisJob	Executa aquest treball
TheSelectedDirectoryIsAlreadyAWebDirectory	El directori seleccionat ja és un directori web.
TheFileNameAlreadyMatchesTheDefaultName	El nom de l'arxiu ja coincideix amb el nom predeterminat.
TheProcedureParameterBetweenQuotesNotFoundProbablyHasBeenDeletedOrRenamedUpdateOneLevelAboveElipsis	El procediment '{0}' no s'ha trobat probablement hagi estat eliminat o rebatejat, actualitzi un nivell per sobre ...
TheProcedureDoesNotExist	El procediment no existeix.
TheParentProcedureCannotBeNull	El procediment pare no pot ser nul.
TheProjectHasBeenModifiedByExternalApplicationAtThisTimeIsRecommendedCloseAndReopenProject	El projecte ha estat modificat per una aplicació externa, en aquest moment, es recomana tancar i reobrir el projecte
ErrorReloadingTheFile	Error a l'recarregar el fitxer.
ThisProjectDoesNotHaveMainProcedure	Aquest projecte no té MAIN PROCEDURE.
ThisProjectHaveSeveralMainProcedure	Aquest projecte té diversos MAIN PROCEDURE.
Strategy	Estratègia
ExcludeFromTheProject	Excloure de el projecte
ExecuteFromHere	EXECUTE des d'aquí
HtmlFileCreatedSuccessfully	Fitxer HTML creat correctament
_Function	Funció
GeneratingFile	Generant arxiu
GeneratingHtml	Generant HTML
GenerateStaticWeb	Generar web estàtica
TheGenerationOfTheStaticWebHasFinished	Ha finalitzat la generació del web estàtica.
ExecutionHistory	Històric execució
ProjectImplementation	Implementació projecte
ImplementParameter	Implementar {0}
ImplementFlow	Implementar flux
ImplementFlowAndExecute	Implementar flux i executar
ImplementProject	Implementar projecte
ImplementProjectAndExecute	Implementar projecte i executar
IncludeInTheProject	Incloure en el projecte
Index	Índex
Indices	Índexs
SqlReports	Informes SQL
RepeatedInstruction	Instruccion repetida.
GoToDefinition	Anar a definició
LineParameterColumnParameter	Línia {0}, Columna {1}
TheNamesOfTheTablesOfThisDatabaseHaveBeenCopiedIntoTheClipboard	Els noms de les taules d'aquesta base de dades s'han copiat al porta-retalls.
TheNamesOfTheTablesOfThisSchemeHaveBeenCopiedIntoTheClipboard	Els noms de les taules d'aquest esquema s'han copiat al porta-retalls.
TheNamesOfTheFieldsOfThisTableHaveBeenCopiedIntoTheClipboard	Els noms dels camps d'aquesta taula s'han copiat al porta-retalls.
TheFollowingParameterFilesHaveCrossDependenciesColon	Els següents {0} fitxers tenen dependències creuades:
ShowProjectFiles	Mostra arxius de el projecte
ShowDiagram	Mostra diagrama
ShowCallFlowOfTheMainProcedures	Mostra flux de trucades dels procediments principals
ShowProcedureList	Mostra llista de procediments
ItIsNotPosibleToSortTheFilesOfThisDeploy	No és possible ordenar els fitxers d'aquest deploy.
ItIsNotPossibleToAutomaticallyRenameThisFileAnotherFileCalledParameterBetweenParenthesesAlreadyExists	No és possible canviar el nom automàticament aquest fitxer. Ja hi ha un altre arxiu anomenat '{0}'
DoesNotExistsSelectedProject	No hi ha projecte seleccionat.
ItWasNotPossibleToObtainTheKeyListOfTableParameter	No ha estat possible obtenir el llistat de claus de la taula {0}
ItWasNotPossibleToObtainTheColumnListOfTableParameter	No ha estat possible obtenir el llistat de columnes de la taula {0}
CatalogNotDefined	No s'ha definit el catàleg
NoItemWithIdParameterBetweenQuotesHasBeenFound	No s'ha trobat cap element amb l'id '{0}'
TheVisualizationModeParameterHasNotBeenImplemented	No s'ha implementat la visualització en mode {0}
CouldNotOpenProjectColonParameterBetweenQuotes	No s'ha pogut obrir el projecte: '{0}'
CouldNotGenerateTheWeb	No s'ha pogut generar el web.
CannotCreateTheFileWithTheEnteredParameters	No es pot crear el fitxer amb els paràmetres introduïts.
CannotRenameFileBecauseAnotherFileNamedParameterBetweenQuotesAlreadyExists	No es pot canviar el nom d'aquest fitxer perquè ja hi ha un altre arxiu anomenat '{0}'
AttributeName	Nom de l'atribut
NewColumn	Nova columna
NewPage	Nova pàgina
NewAttribute	Nou atribut
NewJob	Nou treball
Sources	Orígens
Others	Altres
Pages	Pàgines
ProblemParsingColonParameter	Problema a l'parsejar: {0}
Procedure	Procediment
Procedures	Procediments
ReloadingSiteComponents	Recarregant components de el lloc
Restriction	Restricció
Restrictions	Restriccions
Routes	Rutes
TheItemIdMustBeSpecified	S'ha d'especificar l'ID de l'element.
AnEnvironmentMustBeSelected	S'ha de seleccionar un entorn.
ASiteMustBeSelected	S'ha de seleccionar un site.
ATemporaryCopyOfTheModifiedFilesHasBeenSavedCanRecoverFilesNextTimeOpenThisProject	S'ha guardat una còpia temporal dels arxius modificats, podrà recuperar aquests fitxers la propera vegada que obri aquest projecte.
TheStaticWebGenerationHasStarted	S'ha iniciat la generació del web estàtica.
SelectTheWebOfTheNewFile	Seleccioneu la web de el nou arxiu
SelectTheKeysToDelete	Seleccioneu les claus a eliminar
SelectTheColumnsToDelete	Seleccioneu les columnes a eliminar
FileSizeBytesBetweenParentheses	Mida de fitxer (bytes)
Tasks	Tasques
TemporaryParameter	Temporal {0}
HasErrors	Té errors
Jobs	Treballs
TruncateTableAndDependencies	TRUNCATE TABLE i dependències
UseTableRow	Utilitza TABLE ROW
Variables	Variables
Show	Veure
Web	Web
ParenthesesNoneSelected	(Cap seleccionat)
OpenWindowsTaskScheduler	Obrir el programador de tasques de Windows
OpenProject	Obrir projecte
OpenElipsis	Obre ...
AttributesColon	Attributos:
ChangeType	Canviar tipus
JobsFolderColon	Carpeta d'jobs:
Code	Codi
SmtpAccount	Compte SMTP
Details	Detalls
ExecuteMainProcedure	Executar procediment principal
DeleteEnvironment	Eliminar entorn
ProjectEnvironment	Entorn projecte
EndTimeColon	Hora de finalització:
StartTimeColon	Hora d'inici:
Implementation	Implementació
ImplementMainProcedure	Implementar procediment principal
ImplementMainProcedureAndExecute	Implementar procediment principal i executar
Bottom	Inferior
Instruction	Instruccion
CheckBoxesOfButtonsYouWantToUseInProject	Marqueu les caselles d'aquells botons que voleu utilitzar en el seu projecte
EditEnvironment	Modificar entorn
NavigateBackwards	Navegar cap a enrere
NavigateForward	Navegar cap endavant
ItIsNotPossibleRepresentDiagramOfThisTypeOfQuery	No és possible representar el diagrama d'aquest tipus de consulta
NewSqlAction	Nova acció SQL
NewProject	Nou projecte
NewEtlProject	Nou projecte ETL
ProcedureColon	Procediment:
Processes	Processos
ComponentPropertiesColon	Propietats de l'component:
Project	Projecte
RecentProjects	Projectes recents
UrlPathOfThePageColon	Ruta URL de la pàgina:
EnvironmentSubstitutionsColon	Substitucions de l'entorn:
Text	Text
Components	Components
DeleteTableAndDependences	DELETE TABLE i dependències
DropTableAndDependences	DROP TABLE i dependències
ThereAreColumnsThatUseQueryFieldsThatHaveBeenDeletedAskWantDeleteTheseColumns	Hi columnes que fan servir camps de la consulta que han estat esborrats.|¿Desa esborrar aquestes columnes?||{0}
TheFollowingPropertiesWillBeLostAskChangeToParameterLineBreakParameter	Les següents propietats es perdran.|Canviar a {0}?||{1}
TheNameOfTheUpdateDateColumnIsNotValid	El nom de la columna data d'actualització no és vàlid.
TheNameOfTheDeleteDateColumnIsNotValid	El nom de la columna data d'eliminació no és vàlid.
TheNameOfTheInsertDateColumnIsNotValid	El nom de la columna data d'inserció no és vàlid.
AuditFields	Camps d'auditoria
UpdateDateColon	Data d'actualització:
DeletionDateColon	Data d'eliminació:
InsertionDateColon	Data d'inserció:
EtlOptions	Opcions ETL
TheFolderParameterBetweenQuotesDoesNotExist	La carpeta '{0}' no existeix.
Environments	Entorns
NewEnvironment	Nou entorn
TheFileNoLongerExists	El fitxer ja no existeix.
ThisFileTypeCannotBeEditedWithCronoEtl	Aquest tipus de fitxer no es pot editar amb Crono ETL.
LimitResultsCountToColon	Limitar nombre de resultats a:
AllowSavingFilesWithSyntaxErrors	Permetre guardar fitxers amb errors de sintaxi.
EnvironmentProperties	Propietats d'entorn
CopyFolderPath	Copiar ruta de la carpeta
ANameForThisEnvironmentMustBeEstablished	Cal establir un nom per a aquest entorn.
DuplicateEnvironment	Duplicar entorn
CloseAllButThis	Tancar tots excepte l'actual
CannotCreateNewProjectInSelectedPathBecauseAlreadyContainsProjectOrItIsInsideAnotherProject	No es pot crear un nou projecte a la ruta seleccionada perquè ja conté un projecte o està dins d'un altre projecte
NoProjectExistsInTheSelectedPathAskCreateItNow	No exite cap projecte a la ruta seleccionada. Voleu crear-lo ara?
CopyFileFullPath	Copiar ruta completa de l'arxiu
CopyFileName	Copia nom de l'arxiu
OpenFileLocation	Obrir la ubicació de l'arxiu
TheFileParameterBetweenQuotesHasBeenModifiedFromAnotherApplicationAskWantReloadFile	El fitxer '{0}' ha estat modificat des d'una altra aplicació. Voleu recarregar el fitxer?
ReloadFromDisc	Recarregar des del disc
AskEnsureWantReloadFileAndLoseChanges	Esteu segur que voleu recarregar el fitxer i perdre els canvis realitzats?
YoMustSaveChangesBeforeSettingThisFileOnReadonlyMode	Ha de guardar els canvis abans de posar aquest fitxer en mode de només lectura.
TheFileParameterBetweenQuotesContainsSyntaxErrors	El fitxer '{0}' conté errors de sintaxi.
AskEnsureWantSaveItWithErrors	Esteu segur que voleu guardar-ho amb errors?
ItIsNotPossibleToSaveTheFileParameterBetweenQuotesBecauseItContainsSyntaxErrorsCheckCodeAndTryItAgain	No és possible desar el fitxer '{0}' perquè conté errors de sintaxi. Revisi el codi i torneu a provar.
YouCanChangeThisSettingFromTheProjectProperties	Podeu canviar aquest arranjament des de les propietats de el projecte.
ProjectProperties	Propietats de projecte
OneRow	1 fila
OneColumn	1 columna
AnErrorOccurredDuringQueryExecution	Hi ha hagut un error durant l'execució de la consulta.
QueryExecutedSuccessfullyAt	Consulta executada correctament a les
ThereWasAProblemGettingTheDataFromParameter	Hi ha hagut un problema a l'obtenir les dades de||{0}
CouldNotReadOrAddTheXmlSchemaOfTheTable	No s'ha pogut llegir o afegir l'esquema XML de la taula.||{0}
LoadingCronoBindings	Carregant crono bindings
TheFilePropertyMustBeSpecified	Cal especificar la propietat 'File'
TheOutputPropertyMustBeSpecified	Cal especificar la propietat 'Output'
UnexpectedErrorTheCatalogOfTheQueryHasNotBeenLocated	Error imprevist. No s'ha localitzat el catàleg de l'la consulta.
ItIsNotPosibleToEditThisQuery	No és possible editar aquesta consulta.
CouldNotLocateTheMappingParameter	No s'ha pogut localitzar el mapping {0}
CouldNotReestablishTheFilterThatThereWasInTheCoulumnParameter	No s'ha pogut restablir el filtre que hi havia a la columna {0}
CannotEditTheCurrentTableBecauseItWasNotGeneratedWithCronoExcel	No es pot editar la taula actual perquè no s'ha generat amb Crono Excel
WorkbookProperties	Propietats de el llibre
Loads	Càrregues
SourceTableNameColon	Nom taula d'origen:
DestinationTableName	Nom taula de destinació:
PreprocessCodeColon	Codi preprocés:
PostprocessCodeColon	Codi postprocés
CouldNotFindTableParameterBetweenQuotesInThisWorkbook	No s'ha trobat la taula '{0}' en aquest llibre.
ThereIsAProblemWithThePreprocessCode	Hi ha un problema amb el codi de preprocés.
ThereIsAProblemWithThePostprocessCode	Hi ha un problema amb el codi de postprocessat.
TimeTableUsageInformation	La configuració de la taula de temps serveix per calcular valors TD, YTD, QTD i MTD. Un cop definida la taula de temps, es poden utilitzar les funcions td (), YTD (), QTD () i MTD () en el catàleg.||Aquesta funcionalitat requereix que la base de dades suport la sintaxi ANSI (incloent la clàusula WITH i les funcions de finestra OVER).
GeographicalDimensionsUsageInformation	Les dimensions geogràfiques permeten realitzar gràfics de tipus mapa. Hi ha tres tipus de mapes que poden representar: De bombolla, de pastís, o de regions acolorides.||La latitud i longitud de cada valor de la dimensió s'utilitzarà per realitzar els gràfics geogràfics de tipus bombolla i de tipus pastís. El mapa personalitzat s'utilitza per identificar les formes (shapes) de cada regió en els mapes acolorits.
TimeTableFieldsOrderUsageInformation	Seleccioneu i ordeni els camps rellevants per a l'ordenació de el temps (Exemple: Any, semestre, trimestre, num_mes, data, dia).|Aquesta informació s'utilitzarà per calcular els acumulats temporals (TD, YTD, QTD, MTD).
AskWantToCheckTheseParameterJoinsLastVerificationDateColonParameterLastVerificationTimeColonParameterSeconds	Voleu verificar aquestes {0} relacions?|Data última verificació: {1}|Temps última verificació: {2} segons
CalculatingDataTypeOfTheBusinessItemsThisActionOnlyNecessaryOncePerCatalog	Calculant tipus de dada dels elements de negoci.|Aquesta acció només és necessària una vegada per catàleg.
TheCurrentDiagramIsAlreadyUsingTheTableParameterBetweenQuotesAskWantChooseNewAliasForTableParameterBetweenQuotes	El diagrama actual ja està utilitzant la taula '{0}'.||Voleu escollir un nou àlies per a la taula '{1}'?
TheFollowingTablesAreOutdatedColonParameter	Les següents taules estan desactualitzades:|{0}
ProblemCheckingParameterParameter	Problema a l'verificar {0}|{1}
ParameterBetweenQuotesSuccessfullyVerified	'{0}' verificat correctament
AskWantToUpdateThem	Voleu actualitzar-?
AskEnsureWantDeleteThisStarColonParameterBetweenQuotes	Esteu segur que voleu suprimir aquesta estrella: '{0}'?
UpdateTables	Actualitzar taules
SomeBusinessItemIsNotValidUseFunctionalityVerifyBusinessItemsToLearnMoreDetails	Algun element de negoci no és vàlid. Utilitzeu la funcionalitat verificar elements de negoci per a conèixer més detalls.
SomeNestedObjectContainsErrors	Algun objecte niat conté errors
SomeJoinHasVerificationProblems	Algúna relació té problemes de verificació.
_Alias	Alias
ChangeTheAliasOfThisTable	Canviar l'àlies d'aquesta taula
ChangeItemType	Canviar tipus d'element
Fields	Camps
ImportedFields	Camps importats
CountValues	Comptar valors
ConvertToIndicator	Convertir a indicador
ConvertIntoIndicators	Convertir en indicadors
Coordinates	Coordenades
CreateSnowflake	Crear floc de neu
CreateSnowflakeParenthesesWithAlias	Crear floc de neu (amb àlies)
DataProfile	Data profile
YouMustSpecifyANameForThisFolder	Cal especificar un nom per a aquesta carpeta.
YouMustSelectAtLeastOneFieldFromTheTwoTablesInOrderToGenerateTheJoin	Heu de seleccionar al menys 1 camp de les dues taules per generar la join
YouMustSelectTheMapFieldByWhichItLinksToTheDimension	Heu de seleccionar el camp de el mapa pel qual s'enllaça amb la dimensió
YouMustSelectAnImportedField	Ha de seleccionar un camp importat
DuplicateItem	Duplicar element
FormulaEditor	Editor de fórmules
TheFieldParameterDoesNotExistInTheDatabase	El camp {0} no existeix a la base de dades
TheFieldUsedByTheBusinessItemParameterBetweenQuotesIsNotImported	El camp utilitzat per l'element de negoci '{0}' no està importat
TheBusinessItemParameterBetweenQuotesHasARepeatedGuid	L'element de negoci '{0}' té un guid repetit
TheBusinessItemNameParameterBetweenQuotesIsNotValid	El nom d'element de negoci '{0}' no és vàlid
DeleteJoin	Eliminar relació
InTheDefinitionOfBusinessItemParameterBetweenQuotesParameterNotDefinedParametersAreBeingUsed	En la definició de l'element de negoci '{0}' s'usen paràmetres que no s'han definit.
ThisJoinHasNotBeenVerified	Aquest join no s'ha verificat
FilterTables	Filtrar taules
ThereIsSomeErrorInTheJoinDefinition	Hi ha algun error en la definició de la join
ImportTable	Importa taula
ImportTableParenthesesWithAlias	Importa taula (amb àlies)
TheWhereClauseCannotBeEmpty	La clàusula where no pot estar buida.
TheDefinitionOfTheBusinessItemParameterBetweenQuotesContainsErrors	La definició de l'element de negoci '{0}' conté errors
TheTableStructureDoesNotCorrespondWithTheOneAtTheDatabase	L'estructura de la taula no es correspon amb la de la base de dades
TheExpressionMustBeAFilter	L'expressió ha de ser un filtre
TheSelectionMustBeADatabaseTable	La selecció ha de ser una taula de la base de dades
TheGeographicSqlIsBadDefined	La sql geogràfica està mal definida
TheTableParameterBetweenQuotesIsNotFoundInAnyDiagram	La taula '{0}' no es troba en cap diagrama.
TheTableHasTheCorrectStructure	La taula té l'estructura correcta.
TheDocumentationUrlDoesNotHaveValidFormat	L'URL de documentació no té un format vàlid
CouldNotUpdateTheFollowingTables	Les següents taules no s'han pogut actualitzar: {0}
LocateTableInDiagram	Localitzar taula en diagrama
TheCurrentFieldsDoNotMatchThoseInTheDatabaseAskWantReloadThem	Els camps actuals no coincideixen amb els de la base de dades, Voleu recarregar?
TheBusinessItemsHaveBeenCheckedSuccessfully	Els elements de negoci s'han verificat correctament
ShowError	Mostra error
ItHasNotBeenPossibleAccessSampleCatalogsCheckInternetConnectionIfProblemPersistsContactUsAtEmail	No ha estat possible accedir als catàlegs d'exemple, comprovi la seva connexió a internet, si el problema persisteix posis en contacte amb nosaltres a info@crono.net
ACatalogHasNotBeenSetToTheEditor	No se li ha assignat un catàleg a l'editor
CustomMapAttributeHasNotBeenConfigured	No s'ha configurat l'atribut de mapa personalitzat
TheFieldWithTheMapIdHasNotBeenConfigured	No s'ha configurat el camp amb l'id de el mapa
NoTableNamedParameterBetweenQuotesHasBeenFoundInTheDatabase	No s'ha trobat cap taula a la base de dades amb el nom '{0}'
CouldNotOpenCatalogParameterBetweenQuotes	No s'ha pogut obrir el catàleg ' {0} '
CouldNotConnectToTheDatabase	No s'ha pogut connectar amb la base de dades.
CouldNotRelateAnyTableWithThisBusinessItem	No s'ha pogut relacionar cap taula amb aquest element de negoci.
NoChangesDetectedInTableParameterBetweenQuotes	No s'han detectat canvis en la taula '{0}'
CouldNotLoadTheMapFiles	No s'han pogut carregar els fitxers de mapa
CannotChangeItemTypeWhenFoldersAndBusinessITemsHaveBeenSelectedAtTheSameTime	No es pot canviar el tipus d'element quan s'han seleccionat carpetes i elements de negoci a el mateix temps.
CannotLoadTheDbfMapFile	No es pot carregar el fitxer de mapa .dbf
CannotLoadTheShpMapFile	No es pot carregar el fitxer de mapa .shp
CannotCheckTheInformationOfTheTableParameterBetweenParenthesesBecauseItWasNotPossibleToAccessDatabase	No es pot contrastar la informació de la taula '{0}' perquè no ha estat possible accedir a la base de dades
CannotCreateThisJoinsBecausePathFromParameterToPArameterAlreadyExistsAndCircularJoinWouldBeCreated	No es pot crear aquesta relació perquè ja hi ha un camí des de '{0}' a '{1}' i es crearia una relació circular.
ObjectNameInParameter	Nom de l'objecte en {0}
NewAlias	Nou àlies
NewAliasColon	Nou àlies:
NewCatalog	Nou catàleg
NewSnowflake	Nou floc de neu
