_New;Novo
APublishedVersionAlreadyExists;Já existe uma versão publicada ({0}).
GenerateParameter;Gere {0}
GeneratingTemplateElipsis;A gerar modelo ...
MoreTests;Mais testes
MergeColonInParameter;Mesclar: em {0}
TheOrganizationCompanyBetweenParenthesesIsNotInformed;A organização (empresa) não é informada
ItDoesNotExistsTheFileParameterBetweenQuotes;O arquivo '{0}' não existe
TheEnvironmentFileDoesNotExists;O arquivo de ambiente não existe ({0})
TheEulaParenthesesEndUserLicenseAgreementFileDoesNotExistsOrHasNotBeenDefined;O arquivo EULA (Contrato de licença do usuário final) não existe ou não foi definido.
NotExistsColonParameter;Não existe: {0}
PropertyPArameterBetweenQuotesasNotBeenProperlyAssignedInParameter;A propriedade '{0}' em {1} não foi atribuída corretamente
TheTrxFileOfResultsHasNotBeenCreatedColon;O arquivo TRX de resultados não foi criado:
TheFileHasNotCreatedColon;Arquivo não criado:
TheFolderHasNotBeenCreated;A pasta não foi criada:
TheContentSeedHasNotBeenCreated;A semente do conteúdo não foi criada:
NotCreated;Não criado: {0}
CannotFindParameterBetweenQuotesNiParameterBetweenQuotes;'{0}' ni '{1}' não encontrado
TheGitDirectoryHasNotBeenSpecified;O diretório GIT não foi especificado.
TheEnUserLicenseAgreementEulaBetweenParenthesesFileHasNotBeenSpecified;O arquivo do Contrato de licença do usuário final (EULA) não foi especificado
TheNugetDotExeLocationHasNotBeenSpecified;Local Nuget.exe não especificado
TheReleaseModeHasNotBeenSet;O ReleaseMode não foi definido.
TheUpgradeCodeHasNotBeenSet;O UpgradeCode não foi definido.
TheBackupFolderHasNotBeenSet;Pasta de backup não definida
ItHasNotBeenSigned;Não assinado
TheExecutableHasNotBeenSignedColon;O executável não foi assinado:
TheThemeAssemblyHasNotBeenGenerated;A montagem do tema não foi gerada.
TheMsiFileHasNotBeenGenerated;O arquivo MSI não foi gerado.
TheWixobjFileHasNotBeenGenerated;Arquivo WIXOBJ não gerado.
TheWxsFileHasNotBeenGenerated;Arquivo WXS não gerado.
LaunchApplicationOnFinishWasNotReportedCorrectly;LaunchApplicationOnFinish não foi relatado corretamente
TheManofacturerOfTheMsiCompanyBetweenParenthesesHasNotBeenInformed;O fabricante do MSI (empresa) não foi informado
TheFileHasNotBeenModifiedCorrectly;O arquivo não foi modificado corretamente:
TheReleasesFileHasNotBeenModified;O arquivo RELEASES não foi modificado
TheFolderParameterHasNotBeenFound;A pasta {0} não foi encontrada
TheLibraryHasNotBeenObfuscatedColon;A biblioteca não foi ofuscada:
CouldNotDetermineTheAssemblyNameParameterBetweenParentheses;Não foi possível determinar o nome do assembly ({0})
CouldNotDetermineTheFinalVersion;Não foi possível determinar a versão final
CouldNotDetermineTheInitialVersion;A versão inicial não pôde ser determinada
TheGitCredentialsHaveNotBeenSpecified;Credenciais GIT não especificadas.
CouldNotDownloadTheLogs;Não foi possível baixar os logs
NotAllTestsHaveBeenPassed;Nem todos os testes foram aprovados ({0}).
CannotUploadTheFileBecauseItDoesNotExists;O arquivo não pode ser carregado porque não existe.
NotAllProjectsHaveTheSameVersion;Nem todos os projetos têm a mesma versão.
NugetSpecDoesNotHaveTheExpectedFormat;NugetSpec não possui o formato esperado.
NugetPackageColonParameter;Pacote Nuget: {0}
InstalledPrograms;Programas instalados
PropertyParameterBetweenQuotesNotFoundInParameter;Propriedade '{0}' não encontrada em {1}
SetVersionVersionUpperCasseBetweenSquareBracketsParenthesesParameterProjects;Definir versão [VERSION] ({0} projetos)
SetVersionParameterParenthesesParameterProjects;Definir versão {0} ({1} projetos)
SetVersionColonFromParameterToParameterParenthesesInParameterProjects;Definir versão: de {0} a {1} (em {2} projetos)
TheReleaseFileIsOnlyUpdatedInDeployMsiAllUpperCase;SOMENTE O ARQUIVO DE LANÇAMENTO É ATUALIZADO NO IMPLEMENTO MSI
ItIsOnlyAllowedTransformToHtmlFromTestResultFileDotTrxBetweenParentheses;Só é permitido transformar em HTML a partir de um arquivo de resultados de teste (.trx)
ReplaceTheMainColorWithParameter;Substitua a cor principal por {0}
TrxerColonCreateParameter;Trxer: Crie {0}
TheFileAlreadyExistsColon;O arquivo já existe:
TheAssemblyNameCannotContainSpacesNorDots;O nome da montagem não pode conter espaços ou pontos.
CredentialsAreMissingToPublishTheCalendar;Faltam credenciais para publicar o calendário.
Customer;Cliente
PurchaseInvoice;Fatura de compra
Provider;Fornecedor
NewCompanySl;Nova empresa SL
PageParameterBetweenParenthesesColonParameterXParameterPx;- Página ({0}): {1} x {2} px
AskEnsureWantDeleteParameterBetweenQuotes;Tem certeza de que deseja excluir '{0}'?
Period;Exercício
TheCustomerMustHaveACode;O cliente deve ter um código.
TheLoadedReportNotUseSameCatalogAsCurrentReportAskWantContinueLoading;O relatório carregado não usa o mesmo catálogo que o relatório atual.|Deseja continuar cobrando?
ThePeriodMustHaveACode;O período deve ter um código.
TheProviderMustHaveACode;O provedor deve ter um código.
TheReceibtMustHaveACode;O recibo deve ter um código.
GeneratingPdfOfParameterPages;Gerando PDF de {0} páginas.
ReportLoadedSuccessfully;Relatório carregado com sucesso.
TheInvoiceMustHaveACode;A fatura deve ter um código.
TheSerieMustHaveACode;A série deve ter um código
CouldNotLoadTheReport;Não foi possível carregar o relatório
TheActionNameMustBeSpecified;O nome da ação deve ser especificado.
TheInvoiceDateMustBeSpecified;A data da fatura deve ser especificada
TheReceibtDateMustBeSpecified;Você deve especificar a data de recebimento
AnItemMustBeSelected;Um item deve ser selecionado.
SelectTheReportFile;Selecione o arquivo de relatório
SelectAnItem;Selecione um item
Serie;Séries
CustomerColon;Cliente:
Customers;Clientes
ClientCodeColon;Código do Cliente:
PeriodCodeColon;Código do Exercício:
ProviderCodeColon;Código do fornecedor:
SerieCodeColon;Código de série:
CompanyCodeColon;Empresa:
Connect;Ligar
ConfigureScanner;Configurar scanner
Disconnect;Desconectar
DocumentsDirectory;Diretório de documentos
DocumentColon;Documento:
PeriodColon;Exercício:
Periods;Exercícios
Company;Companhia
ItIsCurrentPeriod;É exercício atual
ScanDocument;Digitalizar documento
PurchaseInvoices;Faturas de compra
AmountColon;Montante:
ReportColon;Relatório:
NewFeminine;Novo
CollectionNumberColon;Número da coleção:
InvoiceNumberColon;Número da fatura:
ReceiptNumberColon;Número do recibo:
ProviderColon;Fornecedor:
Providers;Fornecedores
CollectionReceipts;Recibos de cobrança
PaymentReceipts;Recibos de pagamento
SummaryColon;Resumo:
SerieColon;Séries:
Series;Séries
DocumentTypeColon;Tipo de documento:
ShowDocument;Ver documento
ImageColon;Imagem:
SelectAlreadyExistingDocument;Selecionar documento existente
SelectLocalDocument;Selecionar documento local
CouldNotExecuteTheReportDueTheFollowingErrorColonParameter;Não foi possível executar o relatório devido ao seguinte erro:||{0}
ThereWasAnErrorRenamingTheFileColonParameter;Ocorreu um erro ao renomear o arquivo:||{0}
ItWasNotPossibleToOpenTheProjectColonParameter;Não foi possível abrir o projeto:||{0}
TheProcedureParameterBetweenQuotesHasNotBeenFoundCheckNoErrorInFileWhereIsDefined;O procedimento '{0}' não foi encontrado.|Verifique se não há erro no arquivo em que está definido.
TheFollowingFilesHaveBeenRestoredColonParameter;Os seguintes arquivos foram restaurados:||{0}
GeneralBetweenParentheses;(Geral)
ParameterParenthesesLineParameter;{0} (linha {1})
ParameterFiles;{0} arquivos
ParameterVisibles;{0} visível
ParameterVisible;{0} visível
DoubleHyphenParameter;- {0}
AskEnsureWantDeleteTheFile;Tem certeza de que deseja excluir o arquivo?
AskWantRenameThisFileToParameter;Deseja renomear este arquivo para '{0}'?
ManageEnvironments;Gerenciar ambientes
Files;Arquivos
ProjectFiles;Arquivos de projeto
AttributesOfParameter;Atributos de {0}
AutoRename;Nome Automático
DeleteParameterColumns;Excluir {0} colunas
DeleteParameterRelationships;Excluir {0} relacionamentos
Load;Carregar
CloseAll;Fechar tudo
CloseAllSaved;Fechar tudo salvo
CloseAllTemporals;Feche todas as tempestades
CopyingSiteResources;Copiando recursos do site
ConvertTo;Se transformar em
CreatingTheHtmlFile;Criando o arquivo html
CronoEtlCannotDetermineADefaultNameForThisFile;O Crono ETL não pode determinar um nome padrão para este arquivo
YouMustSelectAnEnvironment;Você deve selecionar um ambiente
DropProcedureParameter;PROCEDIMENTO DE GOTA {0}
DropTableParameter;DROP TABLE {0}
DropViewParameter;VISTA DROP {0}
EditSQLFreely;Edite SQL grátis
SqlEditor;Editor SQL
ExecuteThisJob;Execute este trabalho
TheSelectedDirectoryIsAlreadyAWebDirectory;O diretório selecionado já é um diretório da web.
TheFileNameAlreadyMatchesTheDefaultName;O nome do arquivo já corresponde ao nome padrão.
TheProcedureParameterBetweenQuotesNotFoundProbablyHasBeenDeletedOrRenamedUpdateOneLevelAboveElipsis;O procedimento '{0}' não foi encontrado, provavelmente foi excluído ou renomeado, atualize um nível acima ...
TheProcedureDoesNotExist;O procedimento não existe.
TheParentProcedureCannotBeNull;O procedimento pai não pode ser nulo.
TheProjectHasBeenModifiedByExternalApplicationAtThisTimeIsRecommendedCloseAndReopenProject;O projeto foi modificado por um aplicativo externo; neste momento, é recomendável fechar e reabrir o projeto
ErrorReloadingTheFile;Erro ao recarregar o arquivo.
ThisProjectDoesNotHaveMainProcedure;Este projeto não possui PROCEDIMENTO PRINCIPAL.
ThisProjectHaveSeveralMainProcedure;Este projeto possui vários PROCEDIMENTOS PRINCIPAIS.
Strategy;Estratégia
ExcludeFromTheProject;Excluir do projeto
ExecuteFromHere;EXECUTE daqui
HtmlFileCreatedSuccessfully;Arquivo HTML criado com sucesso
_Function;Função
GeneratingFile;Gerando arquivo
GeneratingHtml;Gerando HTML
GenerateStaticWeb;Gere uma Web estática
TheGenerationOfTheStaticWebHasFinished;A geração da Web estática foi concluída.
ExecutionHistory;Histórico de Execução
ProjectImplementation;Implementação do projeto
ImplementParameter;Implementar {0}
ImplementFlow;Implementar fluxo
ImplementFlowAndExecute;Implementar fluxo e executar
ImplementProject;Implementar projeto
ImplementProjectAndExecute;Implementar projeto e executar
IncludeInTheProject;Incluir no projeto
Index;Índice
Indices;Índices
SqlReports;Relatórios SQL
RepeatedInstruction;Instrução repetida
GoToDefinition;Ir para definição
LineParameterColumnParameter;Linha {0}, Coluna {1}
TheNamesOfTheTablesOfThisDatabaseHaveBeenCopiedIntoTheClipboard;Os nomes das tabelas neste banco de dados foram copiados para a área de transferência.
TheNamesOfTheTablesOfThisSchemeHaveBeenCopiedIntoTheClipboard;Os nomes das tabelas neste esquema foram copiados para a área de transferência.
TheNamesOfTheFieldsOfThisTableHaveBeenCopiedIntoTheClipboard;Os nomes dos campos nesta tabela foram copiados para a área de transferência.
TheFollowingParameterFilesHaveCrossDependenciesColon;Os seguintes arquivos {0} têm dependências cruzadas:
ShowProjectFiles;Mostrar arquivos do projeto
ShowDiagram;Mostrar diagrama
ShowCallFlowOfTheMainProcedures;Mostrar fluxo de chamadas dos procedimentos principais
ShowProcedureList;Mostrar lista de procedimentos
ItIsNotPosibleToSortTheFilesOfThisDeploy;Não é possível classificar os arquivos dessa implantação.
ItIsNotPossibleToAutomaticallyRenameThisFileAnotherFileCalledParameterBetweenParenthesesAlreadyExists;Não é possível renomear este arquivo automaticamente. Outro arquivo chamado '{0}' já existe
DoesNotExistsSelectedProject;Não há projeto selecionado.
ItWasNotPossibleToObtainTheKeyListOfTableParameter;Não foi possível obter a lista de chaves da tabela {0}
ItWasNotPossibleToObtainTheColumnListOfTableParameter;Não foi possível obter a lista de colunas na tabela {0}
CatalogNotDefined;Catálogo não definido
NoItemWithIdParameterBetweenQuotesHasBeenFound;Nenhum item encontrado com o ID '{0}'
TheVisualizationModeParameterHasNotBeenImplemented;Tela não implementada no modo {0}
CouldNotOpenProjectColonParameterBetweenQuotes;Não foi possível abrir o projeto: '{0}'
CouldNotGenerateTheWeb;Não foi possível gerar a web.
CannotCreateTheFileWithTheEnteredParameters;Você não pode criar o arquivo com os parâmetros inseridos.
CannotRenameFileBecauseAnotherFileNamedParameterBetweenQuotesAlreadyExists;Você não pode renomear este arquivo porque outro arquivo chamado '{0}' já existe
AttributeName;Nome do atributo
NewColumn;Nova coluna
NewPage;Nova página
NewAttribute;Novo atributo
NewJob;Novo trabalho
Sources;Origens
Others;Outros
Pages;Páginas
ProblemParsingColonParameter;Problema ao analisar: {0}
Procedure;Procedimento
Procedures;Procedimentos
ReloadingSiteComponents;Recarregando componentes do site
Restriction;Restrição
Restrictions;Restrições
Routes;Rotas
TheItemIdMustBeSpecified;O ID do item deve ser especificado.
AnEnvironmentMustBeSelected;Um ambiente deve ser selecionado.
ASiteMustBeSelected;Um site deve ser selecionado.
ATemporaryCopyOfTheModifiedFilesHasBeenSavedCanRecoverFilesNextTimeOpenThisProject;Uma cópia temporária dos arquivos modificados foi salva. Você pode recuperá-los na próxima vez que abrir esse projeto.
TheStaticWebGenerationHasStarted;A geração estática da web foi iniciada.
SelectTheWebOfTheNewFile;Selecione a web do novo arquivo
SelectTheKeysToDelete;Selecione as teclas para excluir
SelectTheColumnsToDelete;Selecione as colunas a serem excluídas
FileSizeBytesBetweenParentheses;Tamanho do arquivo (bytes)
Tasks;Tarefas
TemporaryParameter;Temporário {0}
HasErrors;Tem erros
Jobs;Trabalhos
TruncateTableAndDependencies;TABELA TRUNCATE e dependências
UseTableRow;Use TABLE ROW
Variables;Variáveis
Show;Veja
Web;Web
ParenthesesNoneSelected;(Nenhum selecionado)
OpenWindowsTaskScheduler;Abra o Agendador de tarefas do Windows
OpenProject;Projeto aberto
OpenElipsis;Abrir ...
AttributesColon;Atributos:
ChangeType;Alterar tipo
JobsFolderColon;Pasta Trabalhos:
Code;Código
SmtpAccount;Conta SMTP
Details;Detalhes
ExecuteMainProcedure;Executar procedimento principal
DeleteEnvironment;Excluir ambiente
ProjectEnvironment;Ambiente do projeto
EndTimeColon;Hora de término:
StartTimeColon;Hora de início:
Implementation;Implementação
ImplementMainProcedure;Implementar procedimento principal
ImplementMainProcedureAndExecute;Implementar o procedimento principal e executar
Bottom;Inferior
Instruction;Instrução
CheckBoxesOfButtonsYouWantToUseInProject;Marque as caixas desses botões que você deseja usar no seu projeto
EditEnvironment;Modificar ambiente
NavigateBackwards;Navegar para trás
NavigateForward;Navegue para a frente
ItIsNotPossibleRepresentDiagramOfThisTypeOfQuery;Não é possível representar o diagrama desse tipo de consulta
NewSqlAction;Nova ação SQL
NewProject;Novo projeto
NewEtlProject;Novo projeto ETL
ProcedureColon;Procedimento:
Processes;Processos
ComponentPropertiesColon;Propriedades do componente:
Project;Projeto
RecentProjects;Projetos Recentes
UrlPathOfThePageColon;Caminho da URL da página:
EnvironmentSubstitutionsColon;Substituições de ambiente:
Text;Text
Components;Componentes
DeleteTableAndDependences;DELETE TABLE e dependências
DropTableAndDependences;DROP TABLE e dependências
ThereAreColumnsThatUseQueryFieldsThatHaveBeenDeletedAskWantDeleteTheseColumns;Existem colunas que usam campos de consulta que foram excluídos.|Limpar excluir essas colunas?||{0}
TheFollowingPropertiesWillBeLostAskChangeToParameterLineBreakParameter;As seguintes propriedades serão perdidas.|Mudar para {0}?||{1}
TheNameOfTheUpdateDateColumnIsNotValid;O nome da coluna da data de atualização não é válido.
TheNameOfTheDeleteDateColumnIsNotValid;O nome da coluna da data de exclusão não é válido.
TheNameOfTheInsertDateColumnIsNotValid;O nome da coluna da data de inserção não é válido.
AuditFields;Campos de auditoria
UpdateDateColon;Data de atualização:
DeletionDateColon;Data de eliminação:
InsertionDateColon;Data de inserção:
EtlOptions;Opções de ETL
TheFolderParameterBetweenQuotesDoesNotExist;A pasta '{0}' não existe.
Environments;Arredores
NewEnvironment;Novo ambiente
TheFileNoLongerExists;O arquivo não existe mais.
ThisFileTypeCannotBeEditedWithCronoEtl;Este tipo de arquivo não pode ser editado com o Crono ETL.
LimitResultsCountToColon;Limite o número de resultados para:
AllowSavingFilesWithSyntaxErrors;Permite salvar arquivos com erros de sintaxe.
EnvironmentProperties;Propriedades do ambiente
CopyFolderPath;Copiar caminho da pasta
ANameForThisEnvironmentMustBeEstablished;É necessário estabelecer um nome para esse ambiente.
DuplicateEnvironment;Ambiente Duplicado
CloseAllButThis;Feche todos, exceto o atual
CannotCreateNewProjectInSelectedPathBecauseAlreadyContainsProjectOrItIsInsideAnotherProject;Você não pode criar um novo projeto na rota selecionada porque ele já contém um projeto ou está dentro de outro projeto
NoProjectExistsInTheSelectedPathAskCreateItNow;Não há projetos na rota selecionada. Deseja criá-lo agora?
CopyFileFullPath;Copiar caminho completo do arquivo
CopyFileName;Copiar nome do arquivo
OpenFileLocation;Abrir local do arquivo
TheFileParameterBetweenQuotesHasBeenModifiedFromAnotherApplicationAskWantReloadFile;O arquivo '{0}' foi modificado de outro aplicativo. Deseja recarregar o arquivo?
ReloadFromDisc;Recarregar do disco
AskEnsureWantReloadFileAndLoseChanges;Tem certeza de que deseja recarregar o arquivo e perder as alterações feitas?
YoMustSaveChangesBeforeSettingThisFileOnReadonlyMode;Você deve salvar as alterações antes de colocar este arquivo no modo somente leitura.
TheFileParameterBetweenQuotesContainsSyntaxErrors;O arquivo '{0}' contém erros de sintaxe.
AskEnsureWantSaveItWithErrors;Tem certeza de que deseja salvá-lo com erros?
ItIsNotPossibleToSaveTheFileParameterBetweenQuotesBecauseItContainsSyntaxErrorsCheckCodeAndTryItAgain;Não é possível salvar o arquivo '{0}' porque ele contém erros de sintaxe. Revise o código e tente novamente.
YouCanChangeThisSettingFromTheProjectProperties;Você pode alterar essa configuração nas propriedades do projeto.
ProjectProperties;Propriedades do projeto
OneRow;1 linha
OneColumn;1 coluna
AnErrorOccurredDuringQueryExecution;Ocorreu um erro durante a execução da consulta.
QueryExecutedSuccessfullyAt;Consulta executada com sucesso em
ThereWasAProblemGettingTheDataFromParameter;Ocorreu um problema ao obter os dados de||{0}
CouldNotReadOrAddTheXmlSchemaOfTheTable;Não foi possível ler ou adicionar o esquema XML da tabela.||{0}
LoadingCronoBindings;Carregando ligações crono
TheFilePropertyMustBeSpecified;A propriedade 'Arquivo' deve ser especificada
TheOutputPropertyMustBeSpecified;A propriedade 'Saída' deve ser especificada
UnexpectedErrorTheCatalogOfTheQueryHasNotBeenLocated;Erro imprevisto O catálogo da consulta não foi localizado.
ItIsNotPosibleToEditThisQuery;Não é possível editar esta consulta.
CouldNotLocateTheMappingParameter;Não foi possível localizar o mapeamento {0}
CouldNotReestablishTheFilterThatThereWasInTheCoulumnParameter;O filtro na coluna {0} não pôde ser redefinido
CannotEditTheCurrentTableBecauseItWasNotGeneratedWithCronoExcel;A tabela atual não pode ser editada porque não foi gerada com o Crono Excel
WorkbookProperties;Propriedades do livro
Loads;Cargas
SourceTableNameColon;Nome da tabela de origem:
DestinationTableName;Nome da tabela de destino:
PreprocessCodeColon;Código de pré-processamento:
PostprocessCodeColon;Código pós-processo
CouldNotFindTableParameterBetweenQuotesInThisWorkbook;A tabela '{0}' não foi encontrada neste livro.
ThereIsAProblemWithThePreprocessCode;Há um problema com o código de pré-processo.
ThereIsAProblemWithThePostprocessCode;Há um problema com o código de pós-processamento.
TimeTableUsageInformation;A configuração do cronograma é usada para calcular os valores de TD, YTD, QTD e MTD. Uma vez definido o horário, as funções td (), ytd (), qtd () e mtd () podem ser usadas no catálogo.||Essa funcionalidade requer que o banco de dados suporte a sintaxe ANSI (incluindo a cláusula WITH e as funções da janela OVER).
GeographicalDimensionsUsageInformation;As dimensões geográficas permitem gráficos do tipo mapa. Existem três tipos de mapas que podem ser representados: bolha, torta ou regiões coloridas.||A latitude e longitude de cada valor de dimensão serão usadas para criar os gráficos geográficos do tipo de bolha e tipo de torta. O mapa personalizado é usado para identificar as formas de cada região nos mapas coloridos.
TimeTableFieldsOrderUsageInformation;Selecione e classifique os campos relevantes para o gerenciamento de tempos (exemplo: ano, semestre, trimestre, número_mês, data, dia).|Esta informação será usada para calcular o acúmulo temporário (TD, YTD, QTD, MTD).
AskWantToCheckTheseParameterJoinsLastVerificationDateColonParameterLastVerificationTimeColonParameterSeconds;Deseja verificar esses {0} relacionamentos?|Data da última verificação: {1}|Tempo da última verificação: {2} segundos
CalculatingDataTypeOfTheBusinessItemsThisActionOnlyNecessaryOncePerCatalog;Cálculo do tipo de dados dos elementos de negócios.|Esta ação é necessária apenas uma vez por catálogo.
TheCurrentDiagramIsAlreadyUsingTheTableParameterBetweenQuotesAskWantChooseNewAliasForTableParameterBetweenQuotes;O diagrama atual já está usando a tabela '{0}'.||Deseja escolher um novo alias para a tabela '{1}'?
TheFollowingTablesAreOutdatedColonParameter;As tabelas a seguir estão desatualizadas:|{0}
ProblemCheckingParameterParameter;Problema ao verificar {0}|{1}|
ParameterBetweenQuotesSuccessfullyVerified;'{0}' verificado com sucesso
AskWantToUpdateThem;Deseja atualizá-los?
AskEnsureWantDeleteThisStarColonParameterBetweenQuotes;Tem certeza de que deseja excluir esta estrela: '{0}'?
UpdateTables;Atualizar tabelas
SomeBusinessItemIsNotValidUseFunctionalityVerifyBusinessItemsToLearnMoreDetails;Algum item comercial não é válido. Use a funcionalidade verificar elementos de negócios para obter mais detalhes.
SomeNestedObjectContainsErrors;Algum objeto aninhado contém erros
SomeJoinHasVerificationProblems;Algum relacionamento tem problemas de verificação.
_Alias;Alias
ChangeTheAliasOfThisTable;Alterar o alias desta tabela
ChangeItemType;Alterar tipo de item
Fields;Fields
ImportedFields;Campos Importados
CountValues;Contar valores
ConvertToIndicator;Converter em indicador
ConvertIntoIndicators;Converter em indicadores
Coordinates;Coordenadas
CreateSnowflake;Criar floco de neve
CreateSnowflakeParenthesesWithAlias;Criar floco de neve (com alias)
DataProfile;Perfil de dados
YouMustSpecifyANameForThisFolder;Você deve especificar um nome para esta pasta.
YouMustSelectAtLeastOneFieldFromTheTwoTablesInOrderToGenerateTheJoin;Você deve selecionar pelo menos 1 campo das duas tabelas para gerar a junção
YouMustSelectTheMapFieldByWhichItLinksToTheDimension;Você deve selecionar o campo do mapa pelo qual ele vincula à dimensão
YouMustSelectAnImportedField;Você deve selecionar um campo importado
DuplicateItem;Item duplicado
FormulaEditor;Editor de Fórmula
TheFieldParameterDoesNotExistInTheDatabase;O campo {0} não existe no banco de dados
TheFieldUsedByTheBusinessItemParameterBetweenQuotesIsNotImported;O campo usado pelo elemento de negócios '{0}' não é importado
TheBusinessItemParameterBetweenQuotesHasARepeatedGuid;O elemento comercial '{0}' possui um guia repetido
TheBusinessItemNameParameterBetweenQuotesIsNotValid;Nome de item comercial inválido '{0}'
DeleteJoin;Excluir relacionamento
InTheDefinitionOfBusinessItemParameterBetweenQuotesParameterNotDefinedParametersAreBeingUsed;Na definição do elemento de negócios '{0}', são utilizados parâmetros que não foram definidos.
ThisJoinHasNotBeenVerified;Esta associação não foi verificada
FilterTables;Tabelas de filtro
ThereIsSomeErrorInTheJoinDefinition;Existe algum erro na definição da junção
ImportTable;Tabela de importação
ImportTableParenthesesWithAlias;Tabela de importação (com alias)
TheWhereClauseCannotBeEmpty;A cláusula where não pode estar vazia.
TheDefinitionOfTheBusinessItemParameterBetweenQuotesContainsErrors;A definição do elemento comercial '{0}' contém erros
TheTableStructureDoesNotCorrespondWithTheOneAtTheDatabase;A estrutura da tabela não corresponde à do banco de dados
TheExpressionMustBeAFilter;A expressão deve ser um filtro
TheSelectionMustBeADatabaseTable;A seleção deve ser uma tabela de banco de dados
TheGeographicSqlIsBadDefined;O sql geográfico está mal definido
TheTableParameterBetweenQuotesIsNotFoundInAnyDiagram;A tabela '{0}' não foi encontrada em nenhum diagrama.
TheTableHasTheCorrectStructure;A tabela tem a estrutura correta.
TheDocumentationUrlDoesNotHaveValidFormat;O URL da documentação não possui um formato válido
CouldNotUpdateTheFollowingTables;As tabelas a seguir não puderam ser atualizadas: {0}
LocateTableInDiagram;Localizar tabela no diagrama
TheCurrentFieldsDoNotMatchThoseInTheDatabaseAskWantReloadThem;Os campos atuais não correspondem aos do banco de dados. Deseja recarregá-los?
TheBusinessItemsHaveBeenCheckedSuccessfully;Os itens comerciais foram verificados com sucesso
ShowError;Mostrar erro
ItHasNotBeenPossibleAccessSampleCatalogsCheckInternetConnectionIfProblemPersistsContactUsAtEmail;Não foi possível acessar os catálogos de amostra, verifique sua conexão com a Internet, se o problema persistir, entre em contato conosco em info@crono.net
ACatalogHasNotBeenSetToTheEditor;O catálogo não foi atribuído ao editor
CustomMapAttributeHasNotBeenConfigured;Atributo de mapa personalizado não definido
TheFieldWithTheMapIdHasNotBeenConfigured;O campo com o ID do mapa não foi definido
NoTableNamedParameterBetweenQuotesHasBeenFoundInTheDatabase;Nenhuma tabela encontrada no banco de dados com o nome '{0}'
CouldNotOpenCatalogParameterBetweenQuotes;Não foi possível abrir o catálogo "" {0} ""
CouldNotConnectToTheDatabase;Não foi possível conectar ao banco de dados.
CouldNotRelateAnyTableWithThisBusinessItem;Nenhuma tabela pode estar relacionada a este item de negócios.
NoChangesDetectedInTableParameterBetweenQuotes;Nenhuma alteração detectada na tabela '{0}'
CouldNotLoadTheMapFiles;Não foi possível carregar os arquivos de mapa
CannotChangeItemTypeWhenFoldersAndBusinessITemsHaveBeenSelectedAtTheSameTime;Você não pode alterar o tipo de item quando pastas e itens de negócios foram selecionados ao mesmo tempo.
CannotLoadTheDbfMapFile;Não foi possível carregar o arquivo de mapa .dbf
CannotLoadTheShpMapFile;Não é possível carregar o arquivo de mapa .shp
CannotCheckTheInformationOfTheTableParameterBetweenParenthesesBecauseItWasNotPossibleToAccessDatabase;As informações na tabela '{0}' não podem ser verificadas porque não foi possível acessar o banco de dados
CannotCreateThisJoinsBecausePathFromParameterToPArameterAlreadyExistsAndCircularJoinWouldBeCreated;Esse relacionamento não pode ser criado porque já existe um caminho de '{0}' para '{1}' e um relacionamento circular seria criado.
ObjectNameInParameter;Nome do objeto em {0}
NewAlias;Novo alias
NewAliasColon;Novo alias:
NewCatalog;Novo catálogo
NewSnowflake;Floco de neve novo
SortBy;Organizar por
OrderByNotLocalized;Ordenar por
InOrderToCalculateJoinAutomaticallyIsNecessarySelectSameNumberOfFieldsInTheTwoTables;Para calcular automaticamente a junção, é necessário selecionar o mesmo número de campos nas duas tabelas.
CatalogProperties;Propriedades do catálogo
JoinProperties;Propriedades de relacionamento
TableProperties;Propriedades da tabela
RecalculateDefaultFormat;Recalcular formato padrão
TheStructureOfTheTableParameterBetweenParenthesesHasBeenUpdated;A estrutura da tabela '{0}' foi atualizada
ErrorsHaveBeenFoundInSomeBusinessItems;Foram encontrados erros em algum elemento comercial
SelectField;Selecionar campo
SelectTheFactTableOfTheNewSnowflake;Selecione a tabela de fatos do novo floco de neve.
CustomSql;SQL personalizado
FactTable;Tabela de fatos
ImportedTables;Tabelas importadas
ItemType;Tipo de item
AllJoinsHaveBeenVerifiedCorrectly;Todos os relacionamentos foram verificados corretamente.
AllTablesAreUpdated;Todas as tabelas são atualizadas.
AllTablesHaveBeenUpdatedSuccessfully;Todas as tabelas foram atualizadas com sucesso.
AllVerifiedCorrectly;Tudo verificado corretamente
ShowValuesParenthesesOnlyHundredRows;Veja valores (apenas 1000 linhas)
Verifications;Verificações
VerifyParameter;Verifique {0}
CheckItems;Verificar itens
AnImportedTableWithAliasParameterBetweenQuotesAlreadyExists;Uma tabela importada com o alias '{0}' já existe
OpenCatalog;Abrir catálogo
OpenConfiguration;Abrir configurações
DefaultAggregationColon;Agregação padrão:
AddWhereClause;Adicionar cláusula Where
AliasColon;Alias:
MapAttributeColon;Atributo do mapa:
KeyAttributeColon;Atributo-chave:
ConnectionString;Cadeia de conexão
CalculateWhereClauseAutomatically;Calcular a cláusula where automaticamente
YearFieldColon;Campo do ano:
SortingFieldColon;Campo de classificação:
IdFieldForMapColon;Campo de identificação para o mapa:
LatitudeFieldColon;Campo Latitude:
FieldLongitudeColon;Comprimento do campo:
