_New;Nouveau
ShowColumnSubtotals;Afficher les sous-totaux des colonnes
ShowRowSubtotals;Afficher les sous-totaux de ligne
ShowAllRowsParenthesesShowAllRecordsEvenThoseWithoutData;Afficher toutes les lignes (afficher tous les enregistrements, même ceux sans données)
ShowColumnTotals;Afficher les totaux des colonnes
ShowRowTotals;Afficher les totaux des lignes
NumberOfColorsColon;Nombre de couleurs:
NewSheet;Nouvelle feuille
NumberOfScalesColon;Nombre d'échelles:
OptionsUpperCase;OPTIONS
ColorPalette;Palette de couleurs
ChartColorPaletteColon;Palette de couleurs du graphique:
ForEachRow;Pour chaque ligne
Paste;Coller
AllowAddRecords;Ajouter des enregistrements
AllowDeleteRecords;Supprimer des enregistrements
AllowChangeTheTableSortingParenthesesToPreventSortingByClickingColumn;Autoriser le changement du tri des tableaux (pour empêcher le tri en cliquant sur une colonne)
AllowFilterTheQueryResultParenthesesHidesOrShowsTheFilterIconThatAppearsLeavingTheCursorOnColumnHeader;Autoriser le filtrage du résultat de la requête (masquer ou afficher l'icône de filtre qui apparaît en laissant le curseur sur l'en-tête d'une colonne)
AllowReorderTheColumnsParenthesesToPreventUnintentionalModificationOfTheQuery;Permet de réorganiser les colonnes (pour éviter toute modification involontaire de la requête)
AllowHorizontalZoom;Autoriser le zoom horizontal
AllowVerticalZoom;Autoriser le zoom vertical
PropagateSelectionToOtherPanels;Propager la sélection à d'autres panneaux
Recents;Récent
ReturnedRecords;Retours enregistrés
MandatorySelectionParenthesesPreventsDependantPanelsFromBeingExecutedUnlessThereIsAnyFieldSelected;Sélection obligatoire (empêche les panneaux dépendants de fonctionner à moins qu'aucun champ ne soit sélectionné)
DatePicker;Sélecteur de date
SemiCircular;Semi circulaire
DynamicTable;Table dynamique
PivotTable;Table de pivot
SizeProportionalToTheIndicator;Taille proportionnelle à l'indicateur
Cards;Les cartes
Time;Le temps
ChartType;Type de graphique
ViewType;Type d'affichage
ColumnSubtotalLocation;Emplacement de la colonne du sous-total
RowSubtotalLocation;Emplacement de la ligne de sous-total
UseComputerConnectionParenthesesIfAvailable;Utiliser une connexion d'équipement (si disponible)
MaximumValueColon;Valeur maximale:
MinimumValueColon;Valeur minimale:
Candle;Bougie
GaugeUpperCase;COMPTEUR DE VITESSE
Gauges;Compteurs de vitesse
Verticals;Verticaux
Visualization;Visualisation
FlipColors;Inverser les couleurs
FolderName;Nom du dossier
AcceptChanges;Accepter les modifications
Areas;Domaines
Bars;Cannes
Bubbles;Bulles
Pie;Circulaire
DataInput;Entrée de données
Scatter;Diffusion
DeleteRow;Supprimer la ligne
Reports;Rapports
Left;Gauche
Lines;Lignes
Map;La carte
Points;Des points
Circular;Circulaire
ThisReportDoesNotHasCatalogSpecifyTheCatalogInOrderToUseTheReport;Ce rapport n'a pas de catalogue. Spécifiez le catalogue pour utiliser le rapport.
ShowSheets;Afficher les feuilles
HideSheets;Masquer les feuilles
CurrentlyOnlyUniqueProjectsAreSupportedTwo;Actuellement, seuls les projets uniques sont pris en charge.2
SomethingIsNotRightParameterBetweenParentheses;Quelque chose ne va pas ({0}).
SomethingWentWrongParameterBetweenParenthesesParameterBetweenParentheses;Quelque chose ne s'est pas bien passé ({0}) ({1}).
ApplyingTemplateToTheTestFile;Application d'un modèle au fichier de test
LoadingCssElipsis;Chargement de css ...
LoadingJsElipsis;Chargement de js ...
CleanColonDeleteBinFolders;Nettoyer: supprimer les dossiers BIN
CompileParameterBetweenQuotes;Compilez '{0}'
TheCodeSigningCertificateCertificcateNameBetweenParenthesesMustBeSpecified;Le certificat de signature de code (CertificateName) doit être spécifié
RunTestsColonParameterProjects;Exécuter des tests: {0} projets
TheFileHasNotBeenSignedColon;Le fichier n'est pas signé:
TheFileIsAlreadySignedColon;Le fichier est déjà signé:
TheAssemblyNameMustNotContainSpacesOrDots;Le nom de l'assemblage ne doit pas contenir d'espaces ni de points.
ItIsNecessaryToCompileColon;Il est nécessaire de compiler:
ThisProjectDoesNotHaveTheTestProjectDefined;Ce projet n'a pas le projet Tests défini.
APublishedVersionAlreadyExists;Il existe une version déjà publiée ({0}).
GenerateParameter;Générer {0}
GeneratingTemplateElipsis;Génération du modèle ...
MoreTests;Plus de tests
MergeColonInParameter;Fusionner: dans {0}
TheOrganizationCompanyBetweenParenthesesIsNotInformed;L'organisation (entreprise) n'est pas informée
ItDoesNotExistsTheFileParameterBetweenQuotes;Le fichier '{0}' n'existe pas
TheEnvironmentFileDoesNotExists;Le fichier d'environnement n'existe pas ({0})
TheEulaParenthesesEndUserLicenseAgreementFileDoesNotExistsOrHasNotBeenDefined;Le fichier EULA (End User License Agreement) n'existe pas ou n'a pas été défini.
NotExistsColonParameter;Il n'existe pas: {0}
PropertyPArameterBetweenQuotesasNotBeenProperlyAssignedInParameter;La propriété '{0}' dans {1} n'a pas été affectée correctement
TheTrxFileOfResultsHasNotBeenCreatedColon;Le fichier de résultats TRX n'a pas été créé:
TheFileHasNotCreatedColon;Fichier non créé:
TheFolderHasNotBeenCreated;Le dossier n'a pas été créé:
TheContentSeedHasNotBeenCreated;La graine de contenu n'a pas été créée:
NotCreated;Non créé: {0}
CannotFindParameterBetweenQuotesNiParameterBetweenQuotes;'{0}' ni '{1}' introuvable
TheGitDirectoryHasNotBeenSpecified;Le répertoire GIT n'a pas été spécifié.
TheEnUserLicenseAgreementEulaBetweenParenthesesFileHasNotBeenSpecified;Le fichier du contrat de licence utilisateur final (CLUF) n'a pas été spécifié
TheNugetDotExeLocationHasNotBeenSpecified;Emplacement Nuget.exe non spécifié
TheReleaseModeHasNotBeenSet;Le ReleaseMode n'a pas été défini.
TheUpgradeCodeHasNotBeenSet;Le UpgradeCode n'a pas été défini.
TheBackupFolderHasNotBeenSet;Dossier de sauvegarde non défini
ItHasNotBeenSigned;Non signé
TheExecutableHasNotBeenSignedColon;L'exécutable n'a pas été signé:
TheThemeAssemblyHasNotBeenGenerated;L'assemblage de thème n'a pas été généré.
TheMsiFileHasNotBeenGenerated;Le fichier MSI n'a pas été généré.
TheWixobjFileHasNotBeenGenerated;Fichier WIXOBJ non généré.
TheWxsFileHasNotBeenGenerated;Fichier WXS non généré.
LaunchApplicationOnFinishWasNotReportedCorrectly;LaunchApplicationOnFinish n'a pas été signalé correctement
TheManofacturerOfTheMsiCompanyBetweenParenthesesHasNotBeenInformed;Le fabricant du MSI (entreprise) n'a pas été informé
TheFileHasNotBeenModifiedCorrectly;Le fichier n'a pas été modifié correctement:
TheReleasesFileHasNotBeenModified;Le fichier RELEASES n'a pas été modifié
TheFolderParameterHasNotBeenFound;Le dossier {0} est introuvable
TheLibraryHasNotBeenObfuscatedColon;La bibliothèque n'a pas été obscurcie:
CouldNotDetermineTheAssemblyNameParameterBetweenParentheses;Impossible de déterminer le nom de l'assembly ({0})
CouldNotDetermineTheFinalVersion;Impossible de déterminer la version finale
CouldNotDetermineTheInitialVersion;La version initiale n'a pas pu être déterminée
TheGitCredentialsHaveNotBeenSpecified;Identifiants GIT non spécifiés.
CouldNotDownloadTheLogs;Impossible de télécharger les journaux
NotAllTestsHaveBeenPassed;Tous les tests n'ont pas été réussis ({0}).
CannotUploadTheFileBecauseItDoesNotExists;Le fichier ne peut pas être téléchargé car il n'existe pas.
NotAllProjectsHaveTheSameVersion;Tous les projets n'ont pas la même version.
NugetSpecDoesNotHaveTheExpectedFormat;NugetSpec n'a pas le format attendu.
NugetPackageColonParameter;Forfait Nuget: {0}
InstalledPrograms;Programmes installés
PropertyParameterBetweenQuotesNotFoundInParameter;La propriété '{0}' est introuvable dans {1}
SetVersionVersionUpperCasseBetweenSquareBracketsParenthesesParameterProjects;Définir la version [VERSION] ({0} projets)
SetVersionParameterParenthesesParameterProjects;Définir la version {0} ({1} projets)
SetVersionColonFromParameterToParameterParenthesesInParameterProjects;Définir la version: de {0} à {1} (dans {2} projets)
TheReleaseFileIsOnlyUpdatedInDeployMsiAllUpperCase;SEUL LE FICHIER DE LIBÉRATION EST MIS À JOUR DANS DEPLOY MSI
ItIsOnlyAllowedTransformToHtmlFromTestResultFileDotTrxBetweenParentheses;Il est uniquement autorisé à se transformer en HTML à partir d'un fichier de résultats de test (.trx)
ReplaceTheMainColorWithParameter;Remplacez la couleur principale par {0}
TrxerColonCreateParameter;Trxer: créer {0}
TheFileAlreadyExistsColon;Le fichier existe déjà:
TheAssemblyNameCannotContainSpacesNorDots;Le nom de l'assemblage ne peut pas contenir d'espaces ni de points.
CredentialsAreMissingToPublishTheCalendar;Les informations d'identification sont manquantes pour publier le calendrier.
Customer;Client
PurchaseInvoice;Facture
Provider;Vendeur
NewCompanySl;Nouvelle société SL
PageParameterBetweenParenthesesColonParameterXParameterPx;- Page ({0}): {1} x {2} px
AskEnsureWantDeleteParameterBetweenQuotes;Voulez-vous vraiment supprimer «{0}»?
Period;Exercice
TheCustomerMustHaveACode;Le client doit avoir un code.
TheLoadedReportNotUseSameCatalogAsCurrentReportAskWantContinueLoading;Le rapport chargé n'utilise pas le même catalogue que le rapport actuel.|Voulez-vous continuer à charger?
ThePeriodMustHaveACode;La période doit avoir un code.
TheProviderMustHaveACode;Le fournisseur doit avoir un code.
TheReceibtMustHaveACode;Le reçu doit avoir un code.
GeneratingPdfOfParameterPages;Génération de PDF de {0} pages.
ReportLoadedSuccessfully;Rapport chargé avec succès.
TheInvoiceMustHaveACode;La facture doit avoir un code.
TheSerieMustHaveACode;La série doit avoir un code
CouldNotLoadTheReport;Le rapport n'a pas pu être chargé
TheActionNameMustBeSpecified;Le nom de l'action doit être spécifié.
TheInvoiceDateMustBeSpecified;La date de la facture doit être précisée
TheReceibtDateMustBeSpecified;Vous devez spécifier la date de réception
AnItemMustBeSelected;Un élément doit être sélectionné.
SelectTheReportFile;Sélectionnez le fichier de rapport
SelectAnItem;Sélectionnez un article
Serie;Série
CustomerColon;Client:
Customers;Les clients
ClientCodeColon;Code client:
PeriodCodeColon;Code d'exercice:
ProviderCodeColon;Code fournisseur:
SerieCodeColon;Code de série:
CompanyCodeColon;Code d'entreprise:
Connect;Connecter
ConfigureScanner;Configurer le scanner
Disconnect;Déconnecter
DocumentsDirectory;Répertoire des documents
DocumentColon;Document:
PeriodColon;Exercice:
Periods;Exercices
Company;Entreprise
ItIsCurrentPeriod;C'est un exercice en cours
ScanDocument;Numériser le document
PurchaseInvoices;Factures d'achat
AmountColon;Montant:
ReportColon;Rapport:
NewFeminine;Nouveau
CollectionNumberColon;Numéro de collection:
InvoiceNumberColon;Numero de facture:
ReceiptNumberColon;Numéro de reçu:
ProviderColon;Fournisseur:
Providers;Les fournisseurs
CollectionReceipts;Reçus de collecte
PaymentReceipts;Reçus de paiement
SummaryColon;Résumé:
SerieColon;Série:
Series;Séries
DocumentTypeColon;Type de document:
ShowDocument;Voir le document
ImageColon;Image:
SelectAlreadyExistingDocument;Sélectionnez un document existant
SelectLocalDocument;Sélectionnez un document local
CouldNotExecuteTheReportDueTheFollowingErrorColonParameter;Le rapport n'a pas pu être exécuté en raison de l'erreur suivante:||{0}
ThereWasAnErrorRenamingTheFileColonParameter;Une erreur s'est produite lors du changement de nom du fichier:||{0}
ItWasNotPossibleToOpenTheProjectColonParameter;Il n'a pas été possible d'ouvrir le projet:||{0}
TheProcedureParameterBetweenQuotesHasNotBeenFoundCheckNoErrorInFileWhereIsDefined;La procédure '{0}' est introuvable.|Vérifiez qu'il n'y a pas d'erreur dans le fichier où il est défini.
TheFollowingFilesHaveBeenRestoredColonParameter;Les fichiers suivants ont été restaurés:||{0}
GeneralBetweenParentheses;(Général)
ParameterParenthesesLineParameter;{0} (ligne {1})
ParameterFiles;{0} fichiers
ParameterVisibles;{0} visible
ParameterVisible;{0} visible
DoubleHyphenParameter;- {0}
AskEnsureWantDeleteTheFile;Voulez-vous vraiment supprimer le fichier?
AskWantRenameThisFileToParameter;Voulez-vous renommer ce fichier en '{0}'?
ManageEnvironments;Gérer les environnements
Files;Les archives
ProjectFiles;Fichiers de projet
AttributesOfParameter;Attributs de {0}
AutoRename;Nom automatique
DeleteParameterColumns;Supprimer {0} colonnes
DeleteParameterRelationships;Supprimer les relations {0}
Load;Charge
CloseAll;Fermer tout
CloseAllSaved;Fermer tout enregistré
CloseAllTemporals;Fermez toutes les tempêtes
CopyingSiteResources;Copie des ressources du site
ConvertTo;Transformez en
CreatingTheHtmlFile;Création du fichier html
CronoEtlCannotDetermineADefaultNameForThisFile;Crono ETL ne peut pas déterminer un nom par défaut pour ce fichier
YouMustSelectAnEnvironment;Vous devez sélectionner un environnement
DropProcedureParameter;PROCÉDURE DE DÉPÔT {0}
DropTableParameter;TABLEAU DROP {0}
DropViewParameter;DROP VIEW {0}
EditSQLFreely;Modifier le SQL gratuit
SqlEditor;Éditeur SQL
ExecuteThisJob;Exécutez ce travail
TheSelectedDirectoryIsAlreadyAWebDirectory;Le répertoire sélectionné est déjà un répertoire Web.
TheFileNameAlreadyMatchesTheDefaultName;Le nom de fichier correspond déjà au nom par défaut.
TheProcedureParameterBetweenQuotesNotFoundProbablyHasBeenDeletedOrRenamedUpdateOneLevelAboveElipsis;La procédure '{0}' est introuvable, elle a probablement été supprimée ou renommée, mettez à jour un niveau au-dessus ...
TheProcedureDoesNotExist;La procédure n'existe pas.
TheParentProcedureCannotBeNull;La procédure parent ne peut pas être nulle.
TheProjectHasBeenModifiedByExternalApplicationAtThisTimeIsRecommendedCloseAndReopenProject;Le projet a été modifié par une application externe, pour le moment, il est recommandé de fermer et rouvrir le projet
ErrorReloadingTheFile;Erreur lors du rechargement du fichier.
ThisProjectDoesNotHaveMainProcedure;Ce projet n'a pas de PROCÉDURE PRINCIPALE.
ThisProjectHaveSeveralMainProcedure;Ce projet a plusieurs PROCEDURE PRINCIPALE.
Strategy;La stratégie
ExcludeFromTheProject;Exclure du projet
ExecuteFromHere;EXÉCUTER à partir d'ici
HtmlFileCreatedSuccessfully;Fichier HTML créé avec succès
_Function;Fonction
GeneratingFile;Génération d'un fichier
GeneratingHtml;Générer du HTML
GenerateStaticWeb;Générer du Web statique
TheGenerationOfTheStaticWebHasFinished;La génération Web statique est terminée.
ExecutionHistory;Historique d'exécution
ProjectImplementation;Mise en œuvre du projet
ImplementParameter;Implémenter {0}
ImplementFlow;Mettre en œuvre le flux
ImplementFlowAndExecute;Mettre en œuvre le flux et exécuter
ImplementProject;Mettre en œuvre le projet
ImplementProjectAndExecute;Mettre en œuvre le projet et exécuter
IncludeInTheProject;Inclure dans le projet
Index;Index
Indices;Indices
SqlReports;Rapports SQL
RepeatedInstruction;Instruction répétée
GoToDefinition;Aller à la définition
LineParameterColumnParameter;Ligne {0}, colonne {1}
TheNamesOfTheTablesOfThisDatabaseHaveBeenCopiedIntoTheClipboard;Les noms des tables de cette base de données ont été copiés dans le presse-papiers.
TheNamesOfTheTablesOfThisSchemeHaveBeenCopiedIntoTheClipboard;Les noms des tables de ce schéma ont été copiés dans le presse-papiers.
TheNamesOfTheFieldsOfThisTableHaveBeenCopiedIntoTheClipboard;Les noms des champs de ce tableau ont été copiés dans le presse-papiers.
TheFollowingParameterFilesHaveCrossDependenciesColon;Les fichiers {0} suivants ont des dépendances croisées:
ShowProjectFiles;Afficher les fichiers de projet
ShowDiagram;Afficher le diagramme
ShowCallFlowOfTheMainProcedures;Afficher le flux d'appels des procédures principales
ShowProcedureList;Afficher la liste des procédures
ItIsNotPosibleToSortTheFilesOfThisDeploy;Il n'est pas possible de trier les fichiers de ce déploiement.
ItIsNotPossibleToAutomaticallyRenameThisFileAnotherFileCalledParameterBetweenParenthesesAlreadyExists;Il n'est pas possible de renommer automatiquement ce fichier. Un autre fichier appelé '{0}' existe déjà
DoesNotExistsSelectedProject;Aucun projet n'est sélectionné.
ItWasNotPossibleToObtainTheKeyListOfTableParameter;Il n'a pas été possible d'obtenir la liste des clés de la table {0}
ItWasNotPossibleToObtainTheColumnListOfTableParameter;Il n'a pas été possible d'obtenir la liste des colonnes du tableau {0}
CatalogNotDefined;Catalogue non défini
NoItemWithIdParameterBetweenQuotesHasBeenFound;Aucun élément trouvé avec l'ID '{0}'
TheVisualizationModeParameterHasNotBeenImplemented;Affichage non implémenté en mode {0}
CouldNotOpenProjectColonParameterBetweenQuotes;Impossible d'ouvrir le projet: '{0}'
CouldNotGenerateTheWeb;Le site Web n'a pas pu être généré.
CannotCreateTheFileWithTheEnteredParameters;Vous ne pouvez pas créer le fichier avec les paramètres saisis.
CannotRenameFileBecauseAnotherFileNamedParameterBetweenQuotesAlreadyExists;Vous ne pouvez pas renommer ce fichier car un autre fichier appelé '{0}' existe déjà
AttributeName;Nom d'attribut
NewColumn;Nouvelle colonne
NewPage;Nouvelle page
NewAttribute;Nouvel attribut
NewJob;Nouveau travail
Sources;Les origines
Others;Autre
Pages;Pages
ProblemParsingColonParameter;Problème d'analyse: {0}
Procedure;Procédure
Procedures;Procédures
ReloadingSiteComponents;Rechargement des composants du site
Restriction;Restriction
Restrictions;Restrictions
Routes;Itinéraires
TheItemIdMustBeSpecified;L'ID de l'article doit être spécifié.
AnEnvironmentMustBeSelected;Un environnement doit être sélectionné.
ASiteMustBeSelected;Un site doit être sélectionné.
ATemporaryCopyOfTheModifiedFilesHasBeenSavedCanRecoverFilesNextTimeOpenThisProject;Une copie temporaire des fichiers modifiés a été enregistrée, vous pourrez récupérer ces fichiers la prochaine fois que vous ouvrirez ce projet.
TheStaticWebGenerationHasStarted;La génération Web statique a commencé.
SelectTheWebOfTheNewFile;Sélectionnez le site Web du nouveau fichier
SelectTheKeysToDelete;Sélectionnez les clés à supprimer
SelectTheColumnsToDelete;Sélectionnez les colonnes à supprimer
FileSizeBytesBetweenParentheses;Taille du fichier (octets)
Tasks;Tâches
TemporaryParameter;Temporaire {0}
HasErrors;A des erreurs
Jobs;Oeuvres
TruncateTableAndDependencies;TRUNCATE TABLE et dépendances
UseTableRow;Utilisez TABLE ROW
Variables;Variables
Show;Regarder
Web;Web
ParenthesesNoneSelected;(Aucun sélectionné)
OpenWindowsTaskScheduler;Ouvrir le planificateur de tâches Windows
OpenProject;Projet ouvert
OpenElipsis;Ouvrir ...
AttributesColon;Attributs:
ChangeType;Changer de type
JobsFolderColon;Dossier des travaux:
Code;Code
SmtpAccount;Compte SMTP
Details;Détails
ExecuteMainProcedure;Exécuter la procédure principale
DeleteEnvironment;Supprimer l'environnement
ProjectEnvironment;Environnement du projet
EndTimeColon;Heure de fin:
StartTimeColon;Heure de début:
Implementation;Implémentation
ImplementMainProcedure;Mettre en œuvre la procédure principale
ImplementMainProcedureAndExecute;Mettre en œuvre la procédure principale et exécuter
Bottom;Inférieur
Instruction;Instruction
CheckBoxesOfButtonsYouWantToUseInProject;Cochez les cases des boutons que vous souhaitez utiliser dans votre projet
EditEnvironment;Modifier l'environnement
NavigateBackwards;Naviguer vers l'arrière
NavigateForward;Naviguer vers l'avant
ItIsNotPossibleRepresentDiagramOfThisTypeOfQuery;Il n'est pas possible de représenter le diagramme de ce type de requête
NewSqlAction;Nouvelle action SQL
NewProject;Nouveau projet
NewEtlProject;Nouveau projet ETL
ProcedureColon;Procédure:
Processes;Processus
ComponentPropertiesColon;Propriétés des composants:
Project;Projet
RecentProjects;Projets récents
UrlPathOfThePageColon;Chemin URL de la page:
EnvironmentSubstitutionsColon;Substitutions d'environnement:
Text;Texte
Components;Composants
DeleteTableAndDependences;SUPPRIMER TABLE et dépendances
DropTableAndDependences;DROP TABLE et dépendances
ThereAreColumnsThatUseQueryFieldsThatHaveBeenDeletedAskWantDeleteTheseColumns;Certaines colonnes qui utilisent des champs de requête ont été supprimées.|Effacer supprimer ces colonnes?||{0}
TheFollowingPropertiesWillBeLostAskChangeToParameterLineBreakParameter;Les propriétés suivantes seront perdues.|Passer à {0}?||{1}
TheNameOfTheUpdateDateColumnIsNotValid;Le nom de la colonne de date de mise à jour n'est pas valide.
TheNameOfTheDeleteDateColumnIsNotValid;Le nom de la colonne de date de suppression n'est pas valide.
TheNameOfTheInsertDateColumnIsNotValid;Le nom de la colonne de date d'insertion n'est pas valide.
AuditFields;Champs d'audit
UpdateDateColon;Date de mise à jour:
DeletionDateColon;Date d'élimination:
InsertionDateColon;Date d'insertion:
EtlOptions;Options ETL
TheFolderParameterBetweenQuotesDoesNotExist;Le dossier '{0}' n'existe pas.
Environments;Environs
NewEnvironment;Nouvel environnement
TheFileNoLongerExists;Le fichier n'existe plus.
ThisFileTypeCannotBeEditedWithCronoEtl;Ce type de fichier ne peut pas être modifié avec Crono ETL.
LimitResultsCountToColon;Limitez le nombre de résultats à:
AllowSavingFilesWithSyntaxErrors;Autoriser l'enregistrement de fichiers avec des erreurs de syntaxe.
EnvironmentProperties;Propriétés environnementales
CopyFolderPath;Copier le chemin du dossier
ANameForThisEnvironmentMustBeEstablished;Il est nécessaire d'établir un nom pour cet environnement.
DuplicateEnvironment;Environnement en double
CloseAllButThis;Fermer tout sauf celui en cours
CannotCreateNewProjectInSelectedPathBecauseAlreadyContainsProjectOrItIsInsideAnotherProject;Vous ne pouvez pas créer un nouveau projet sur l'itinéraire sélectionné car il contient déjà un projet ou se trouve dans un autre projet
NoProjectExistsInTheSelectedPathAskCreateItNow;Il n'y a aucun projet sur l'itinéraire sélectionné. Voulez-vous le créer maintenant?
CopyFileFullPath;Copier le chemin complet du fichier
CopyFileName;Copier le nom du fichier
OpenFileLocation;Emplacement du fichier ouvert
TheFileParameterBetweenQuotesHasBeenModifiedFromAnotherApplicationAskWantReloadFile;Le fichier '{0}' a été modifié à partir d'une autre application. Voulez-vous recharger le fichier?
ReloadFromDisc;Recharger à partir du disque
AskEnsureWantReloadFileAndLoseChanges;Voulez-vous vraiment recharger le fichier et perdre les modifications apportées?
YoMustSaveChangesBeforeSettingThisFileOnReadonlyMode;Vous devez enregistrer les modifications avant de mettre ce fichier en mode lecture seule.
TheFileParameterBetweenQuotesContainsSyntaxErrors;Le fichier '{0}' contient des erreurs de syntaxe.
AskEnsureWantSaveItWithErrors;Voulez-vous vraiment l'enregistrer avec des erreurs?
ItIsNotPossibleToSaveTheFileParameterBetweenQuotesBecauseItContainsSyntaxErrorsCheckCodeAndTryItAgain;Il n'est pas possible d'enregistrer le fichier '{0}' car il contient des erreurs de syntaxe. Vérifiez le code et réessayez.
YouCanChangeThisSettingFromTheProjectProperties;Vous pouvez modifier ce paramètre dans les propriétés du projet.
ProjectProperties;Propriétés du projet
OneRow;1 rangée
OneColumn;1 colonne
AnErrorOccurredDuringQueryExecution;Une erreur s'est produite lors de l'exécution de la requête.
QueryExecutedSuccessfullyAt;Requête exécutée avec succès à
ThereWasAProblemGettingTheDataFromParameter;Un problème est survenu lors de l'obtention des données||{0}
CouldNotReadOrAddTheXmlSchemaOfTheTable;Impossible de lire ou d'ajouter le schéma XML de la table.||{0}
LoadingCronoBindings;Chargement des fixations crono
TheFilePropertyMustBeSpecified;La propriété 'File' doit être spécifiée
TheOutputPropertyMustBeSpecified;La propriété 'Output' doit être spécifiée
UnexpectedErrorTheCatalogOfTheQueryHasNotBeenLocated;Erreur imprévue Le catalogue de la requête n'a pas été localisé.
ItIsNotPosibleToEditThisQuery;Il n'est pas possible de modifier cette requête.
CouldNotLocateTheMappingParameter;Impossible de localiser le mappage {0}
CouldNotReestablishTheFilterThatThereWasInTheCoulumnParameter;Le filtre de la colonne {0} n'a pas pu être réinitialisé
CannotEditTheCurrentTableBecauseItWasNotGeneratedWithCronoExcel;Le tableau actuel ne peut pas être modifié car il n'a pas été généré avec Crono Excel
WorkbookProperties;Propriétés du livre
Loads;Charges
SourceTableNameColon;Nom de la table source:
DestinationTableName;Nom de la table de destination:
PreprocessCodeColon;Code de prétraitement:
PostprocessCodeColon;Code de post-traitement
CouldNotFindTableParameterBetweenQuotesInThisWorkbook;La table '{0}' est introuvable dans ce livre.
ThereIsAProblemWithThePreprocessCode;Il y a un problème avec le code de prétraitement.
ThereIsAProblemWithThePostprocessCode;Il y a un problème avec le code de post-traitement.
TimeTableUsageInformation;La configuration du calendrier est utilisée pour calculer les valeurs TD, YTD, QTD et MTD. Une fois le calendrier défini, les fonctions td (), ytd (), qtd () et mtd () peuvent être utilisées dans le catalogue.||Cette fonctionnalité nécessite que la base de données prenne en charge la syntaxe ANSI (y compris la clause WITH et les fonctions de la fenêtre OVER).
GeographicalDimensionsUsageInformation;Les dimensions géographiques permettent des graphiques de type carte. Il existe trois types de cartes qui peuvent être représentées: régions à bulles, à secteurs ou colorées.||La latitude et la longitude de chaque valeur de dimension seront utilisées pour créer des graphiques géographiques de type bulle et de type tarte. La carte personnalisée est utilisée pour identifier les formes de chaque région dans les cartes colorées.
TimeTableFieldsOrderUsageInformation;Sélectionnez et triez les champs pertinents pour la commande horaire (exemple: année, semestre, trimestre, nombre_mois, date, jour).|Ces informations seront utilisées pour calculer l'accumulation temporaire (TD, YTD, QTD, MTD).
AskWantToCheckTheseParameterJoinsLastVerificationDateColonParameterLastVerificationTimeColonParameterSeconds;Voulez-vous vérifier ces relations {0}?|Dernière date de vérification: {1}|Dernière vérification: {2} secondes
CalculatingDataTypeOfTheBusinessItemsThisActionOnlyNecessaryOncePerCatalog;Calcul du type de données des éléments métier.|Cette action n'est nécessaire qu'une seule fois par catalogue.
TheCurrentDiagramIsAlreadyUsingTheTableParameterBetweenQuotesAskWantChooseNewAliasForTableParameterBetweenQuotes;Le diagramme actuel utilise déjà la table '{0}'.||Voulez-vous choisir un nouvel alias pour la table '{1}'?
TheFollowingTablesAreOutdatedColonParameter;Les tableaux suivants sont obsolètes:|{0}
ProblemCheckingParameterParameter;Problème de vérification de {0}|{1}|
ParameterBetweenQuotesSuccessfullyVerified;'{0}' vérifié avec succès
AskWantToUpdateThem;Voulez-vous les mettre à jour?
AskEnsureWantDeleteThisStarColonParameterBetweenQuotes;Voulez-vous vraiment supprimer cette étoile: '{0}'?
UpdateTables;Mettre à jour les tableaux
SomeBusinessItemIsNotValidUseFunctionalityVerifyBusinessItemsToLearnMoreDetails;Certains éléments commerciaux ne sont pas valides. Utilisez la fonctionnalité de vérification des éléments métier pour en savoir plus.
SomeNestedObjectContainsErrors;Certains objets imbriqués contiennent des erreurs
SomeJoinHasVerificationProblems;Certaines relations ont des problèmes de vérification.
_Alias;Alias
ChangeTheAliasOfThisTable;Modifier l'alias de cette table
ChangeItemType;Changer le type d'élément
Fields;Champs
ImportedFields;Champs importés
CountValues;Compter les valeurs
ConvertToIndicator;Convertir en indicateur
ConvertIntoIndicators;Convertir en indicateurs
Coordinates;Coordonnées
CreateSnowflake;Créer un flocon de neige
CreateSnowflakeParenthesesWithAlias;Créer un flocon de neige (avec alias)
DataProfile;Profil de données
YouMustSpecifyANameForThisFolder;Vous devez spécifier un nom pour ce dossier.
YouMustSelectAtLeastOneFieldFromTheTwoTablesInOrderToGenerateTheJoin;Vous devez sélectionner au moins 1 champ dans les deux tables pour générer la jointure
YouMustSelectTheMapFieldByWhichItLinksToTheDimension;Vous devez sélectionner le champ de carte par lequel il est lié à la dimension
YouMustSelectAnImportedField;Vous devez sélectionner un champ importé
DuplicateItem;Article en double
FormulaEditor;Éditeur de formule
TheFieldParameterDoesNotExistInTheDatabase;Le champ {0} n'existe pas dans la base de données
TheFieldUsedByTheBusinessItemParameterBetweenQuotesIsNotImported;Le champ utilisé par l'élément métier '{0}' n'est pas importé
TheBusinessItemParameterBetweenQuotesHasARepeatedGuid;L'élément métier '{0}' a un guid répété
TheBusinessItemNameParameterBetweenQuotesIsNotValid;Nom d'élément métier non valide '{0}'
DeleteJoin;Supprimer la relation
InTheDefinitionOfBusinessItemParameterBetweenQuotesParameterNotDefinedParametersAreBeingUsed;Dans la définition de l'élément métier '{0}', des paramètres qui n'ont pas été définis sont utilisés.
ThisJoinHasNotBeenVerified;Cette jointure n'a pas été vérifiée
