_New;Neu
CouldNotOpenTheDocument;Dokument konnte nicht geöffnet werden.
CouldNotConnectToTheServer;Verbindung zum Server konnte nicht hergestellt werden.
CouldNotGenerateTheDashboardContent;Der Dashboard-Inhalt konnte nicht generiert werden.
CouldNotGenerateTheMap;Die Karte konnte nicht generiert werden.
NoChangesDetected;Keine Änderungen erkannt
ThisViewCannotBeRepresentedBecauseIndicatorReturnsNonNumericalData;Diese Anzeige kann nicht dargestellt werden, da ein Indikator nicht numerische Daten zurückgibt
CannotRepresentAnyKindOfChartWithMoreThanTenThousandRecords;Sie können keinen Diagrammtyp mit mehr als 10.000 Datensätzen darstellen
CannotRepresentBarOrPieChartsWithMoreThanThousandRecords;Sie können keine Balken- oder Kreisdiagramme mit mehr als 1.000 Datensätzen darstellen.
CannotBeRepresentedMapsWithMoreThanTwoThousandRecords;Sie können keine Karten mit mehr als 2.000 Datensätzen darstellen.
NewCalculatedItem;Neuer Artikel berechnet
AnErrorOccurredWhileReadingTheFile;Beim Lesen der Datei ist ein Fehler aufgetreten.
PropagationToAllPanels;Ausbreitung auf alle Panels
DocumentProperties;Dokumenteigenschaften
ItemProperties;Elementeigenschaften
PathColonParameter;Route: {0}
AReportMustBeSelected;Ein Bericht muss ausgewählt werden.
TheCatalogOfThisDocumentHasBeenUpdatedThisUsuallyOccursWhenChangesOrImprovementsPublishedOnServer;Der Katalog dieses Dokuments wurde aktualisiert. Dies tritt normalerweise auf, wenn Änderungen oder Verbesserungen auf dem Server veröffentlicht werden.
TheReferenceToThePanelManagerHasBeenLost;Der Verweis auf den Panel-Administrator ist verloren gegangen.
TheReferenceToThePanelControllerHasBeenLost;Der Verweis auf die Bedienfeldsteuerung ist verloren gegangen.
TheReferenceToThePanelHasBeenLost;Der Verweis auf das Panel ist verloren gegangen.
SelectParameterInThisSheet;Wählen Sie auf diesem Blatt {0} aus
SelectParameterInThisReport;Wählen Sie in diesem Bericht {0} aus
SelectTheFileFromWhichWantImportTheReport;Wählen Sie die Datei aus, aus der Sie den Bericht importieren möchten
SelectTheReportToImport;Wählen Sie den zu importierenden Bericht aus
ServerColonParameter;Server: {0}
UndefinedChartType;Undefinierter Diagrammtyp
NotImplementedPanelType;Paneltyp nicht implementiert
TypeColonParameter;Typ: {0}
CustomPopupWindow;Benutzerdefiniertes Popup-Fenster
Area;Bereich
SplineArea;Gebogener Bereich
StepArea;Stufenbereich
Bar;Bar
CleanWhite;Weiß reinigen
MagicLight;Natürlich Magie
FlatLight;Klar flach
Classic;Klassisch
DataInputColumn;Dateneingabespalte
DbConnection;DB-Verbindung
Cosmic;Kosmisch
Day;Tag
WhereToSave;Wo speichern
Echo;Echo
SecondaryYAxis;Sekundäre Y-Achse
ManualEntry;Manuelle Eingabe
SingleDate;Einzelter Termin
Futuristic;Futuristisch
QueriesHistory;Abfrageverlauf
SheetParameter;Blatt {0}
ImportReport;Bericht importieren
StartAndEnd;Start und Ende
Intelligent;Smart
IStyle;iStyle
Line;Linie
Spline;Gebogene Linie
Timeline;Zeitleiste
StepLine;Versetzte Linie
Month;Monat
FlatDark;Dunkle Wohnung
Progressive;Progressiv
SheetProperties;Blatteigenschaften
PanelProperties;Panel-Eigenschaften
RedClock;Rote Uhr
DropDownSelector;Dropdown-Auswahl
Week;Woche
CompleteWeek;Volle Woche
Workweek;Arbeitswoche
WithoutDataInput;Keine Dateneingabe
WithoutPropagation;Keine Ausbreitung
YellowSubmarine;Gelbes U-Boot
SerieType;Serieller Typ
TypeColonCronoServer;Typ: Crono-Server
TypeColonDirect;Typ: Direkt
DefaultValue;Standardwert
PopupWindow;Popup-Fenster
UserItems;Benutzerelemente
Below;Runter
BusinessActionsColon;Geschäftsaktionen:
UpdateReport;Bericht aktualisieren
AllowsDataInputColon;Unterstützt die Dateneingabe:
AdjustWidthAutomatically;Passen Sie die Breite automatisch an
AtTheEnd;Am Ende
AtTheBeginning;Am Anfang
AlternateRowsColor;Farbreihen umschalten
Donut;Ring
NestedDonuts;Verschachtelte Ringe
AnimateGraphic;Grafik animieren
StackedAreas;Gestapelte Bereiche
FullStackedAreas;Voll gestapelte Bereiche
SplineAreas;Gekrümmte Bereiche
StepAreas;Versetzte Bereiche
ArgumentsSwapped;Argumente ausgetauscht
DragHereToCreateASheetFilter;Ziehen Sie hier, um einen Blattfilter zu erstellen.
Above;Oben
AdvancedPluralMale;Erweitert
StackedBars;Gestapelte Stangen
FullStackedBars;Bars komplett gestapelt
LockQueryParenthesesPreventsAddingRemovingColumnsAndFilters;Blockabfrage (verhindert das Hinzufügen oder Entfernen von Spalten und Filtern)
LockReport;Bericht sperren
DeleteSelection;Auswahl löschen
ChangeName;Namen ändern
Car;Auto
Colors;Farben
MergeCells;Zellen zusammenführen
CustomQueryOfValuesColon;Personalisierte Abfrage von Werten:
CopyAsService;Als Dienst kopieren
CopyData;Daten kopieren
LocalDocuments;Lokale Dokumente
DuplicateSheet;Blatt duplizieren
DuplicatePanel;Panel duplizieren
EditCube;Würfel bearbeiten
QueriesEditor;Abfrage-Editor
DeleteReport;Bericht löschen
Funnel;Trichter
InTheRow;In der Schlange
ReadOnlyDocumentColon;Es ist ein schreibgeschütztes Dokument:
StyleColon;Stil:
Stock;Estoc
FilterThisColumnInDependantPanels;Filtern Sie diese Spalte in abhängigen Bereichen
SaveToServer;Auf Server speichern
History;Geschichte
Sheet;Blatt
HorizontalPlural;Horizontal
ImageParentheses32x32Colon;Bild (32 x 32):
DebugInformation;Debug-Informationen
ClearQuery;Abfrage löschen
Splines;Gekrümmte Linien
StepLines;Versetzte Linien
MapUpperCase;KARTE
InputModeColon;Einführungsmodus:
PropagationMode;Ausbreitungsmodus
PropagationModeToOtherPanelsOfThisSheet;Ausbreitungsmodus zu den übrigen Feldern dieses Blattes:
RepresentationMode;Darstellungsmodus
ShowGrouping;Gruppierung anzeigen
ShowColumnHeaders;Spaltenüberschriften anzeigen
ShowRowHeaders;Zeilenüberschriften anzeigen
ShowNavigationControls;Navigationssteuerelemente anzeigen
ShowCoordinates;Koordinaten anzeigen
ShowSearchBox;Suchfeld anzeigen
ShowDetails;Details anzeigen
ShowScale;Skala anzeigen
ShowLabels;Tags anzeigen
ShowFilters;Filter anzeigen
ShowLegend;Legende anzeigen
ShowPositionLines;Positionslinien anzeigen
ShowHorizontalLines;Horizontale Linien anzeigen
ShowVerticalLines;Vertikale Linien anzeigen
ShowPoints;Punkte anzeigen
AlwaysShowZero;Immer Null anzeigen
ShowColumnSubtotals;Zwischensummen für Spalten anzeigen
ShowRowSubtotals;Zeilen-Zwischensummen anzeigen
ShowAllRowsParenthesesShowAllRecordsEvenThoseWithoutData;Alle Zeilen anzeigen (alle Datensätze anzeigen, auch diejenigen ohne Daten)
ShowColumnTotals;Spaltensummen anzeigen
ShowRowTotals;Zeilensummen anzeigen
NumberOfColorsColon;Anzahl der Farben:
NewSheet;Neues Blatt
NumberOfScalesColon;Anzahl der Skalen:
OptionsUpperCase;OPTIONEN
ColorPalette;Farbpalette
ChartColorPaletteColon;Diagrammfarbpalette:
ForEachRow;Für jede Zeile
Paste;Einfügen
AllowAddRecords;Datensätze hinzufügen
AllowDeleteRecords;Datensätze löschen
AllowChangeTheTableSortingParenthesesToPreventSortingByClickingColumn;Ändern der Tabellensortierung zulassen (um das Sortieren durch Klicken auf eine Spalte zu verhindern)
AllowFilterTheQueryResultParenthesesHidesOrShowsTheFilterIconThatAppearsLeavingTheCursorOnColumnHeader;Ermöglichen Sie das Filtern des Ergebnisses der Abfrage (blenden Sie das Filtersymbol aus oder ein, das angezeigt wird, wenn Sie den Cursor auf der Kopfzeile einer Spalte lassen).
AllowReorderTheColumnsParenthesesToPreventUnintentionalModificationOfTheQuery;Ermöglichen Sie das Neuordnen der Spalten (um eine unbeabsichtigte Änderung der Abfrage zu verhindern).
AllowHorizontalZoom;Horizontalen Zoom zulassen
AllowVerticalZoom;Vertikalen Zoom zulassen
PropagateSelectionToOtherPanels;Übertragen Sie die Auswahl auf andere Panels
Recents;Neu
ReturnedRecords;Registrierte Rücksendungen
MandatorySelectionParenthesesPreventsDependantPanelsFromBeingExecutedUnlessThereIsAnyFieldSelected;Obligatorische Auswahl (verhindert, dass abhängige Bedienfelder ausgeführt werden, sofern kein Feld ausgewählt ist)
DatePicker;Datumsauswahl
SemiCircular;Halbkreis
DynamicTable;Dynamische Tabelle
PivotTable;Schwenktisch
SizeProportionalToTheIndicator;Größe proportional zum Indikator
Cards;Karten
Time;Zeit
ChartType;Diagrammtyp
ViewType;Anzeigetyp
ColumnSubtotalLocation;Zwischensummenspaltenposition
RowSubtotalLocation;Zwischensummenzeilenposition
UseComputerConnectionParenthesesIfAvailable;Geräteanschluss verwenden (falls verfügbar)
MaximumValueColon;Maximalwert:
MinimumValueColon;Mindestwert:
Candle;Kerze
GaugeUpperCase;GESCHWINDIGKEITSMESSER
Gauges;Tachometer
Verticals;Vertikale
Visualization;Visualisierung
FlipColors;Farben umdrehen
FolderName;Ordnername
AcceptChanges;Änderungen akzeptieren
Areas;Bereiche
Bars;Stangen
Bubbles;Blasen
Pie;Rundschreiben
DataInput;Dateneingabe
Scatter;Streuung
DeleteRow;Zeile löschen
Reports;Berichte
Left;Links
Lines;Linien
Map;Karte
Points;Punkte
Circular;Rundschreiben
ThisReportDoesNotHasCatalogSpecifyTheCatalogInOrderToUseTheReport;Dieser Bericht hat keinen Katalog. Geben Sie den Katalog an, in dem der Bericht verwendet werden soll.
ShowSheets;Blätter anzeigen
HideSheets;Blätter ausblenden
CurrentlyOnlyUniqueProjectsAreSupportedTwo;Derzeit werden nur eindeutige Projekte unterstützt.2
SomethingIsNotRightParameterBetweenParentheses;Etwas stimmt nicht ({0}).
SomethingWentWrongParameterBetweenParenthesesParameterBetweenParentheses;Etwas ist nicht gut gelaufen ({0}) ({1}).
ApplyingTemplateToTheTestFile;Vorlage auf die Testdatei anwenden
LoadingCssElipsis;Laden von CSS ...
LoadingJsElipsis;Laden von js ...
CleanColonDeleteBinFolders;Bereinigen: Löschen Sie BIN-Ordner
CompileParameterBetweenQuotes;Kompiliere '{0}'
TheCodeSigningCertificateCertificcateNameBetweenParenthesesMustBeSpecified;Das Codesignaturzertifikat (CertificateName) muss angegeben werden
RunTestsColonParameterProjects;Führen Sie Tests aus: {0} Projekte
TheFileHasNotBeenSignedColon;Die Datei wurde nicht signiert:
TheFileIsAlreadySignedColon;Die Datei ist bereits signiert:
TheAssemblyNameMustNotContainSpacesOrDots;Der Assemblyname darf keine Leerzeichen oder Punkte enthalten.
ItIsNecessaryToCompileColon;Es ist notwendig zu kompilieren:
ThisProjectDoesNotHaveTheTestProjectDefined;In diesem Projekt ist das Testprojekt nicht definiert.
APublishedVersionAlreadyExists;Es gibt eine bereits veröffentlichte Version ({0}).
GenerateParameter;{0} generieren
GeneratingTemplateElipsis;Vorlage generieren ...
MoreTests;Weitere Tests
MergeColonInParameter;Zusammenführen: In {0}
TheOrganizationCompanyBetweenParenthesesIsNotInformed;Die Organisation (Firma) wird nicht informiert
ItDoesNotExistsTheFileParameterBetweenQuotes;Die Datei '{0}' existiert nicht
TheEnvironmentFileDoesNotExists;Die Umgebungsdatei existiert nicht ({0})
TheEulaParenthesesEndUserLicenseAgreementFileDoesNotExistsOrHasNotBeenDefined;Die EULA-Datei (End User License Agreement) existiert nicht oder wurde nicht definiert.
NotExistsColonParameter;Es existiert nicht: {0}
PropertyPArameterBetweenQuotesasNotBeenProperlyAssignedInParameter;Die Eigenschaft '{0}' in {1} wurde nicht korrekt zugewiesen
TheTrxFileOfResultsHasNotBeenCreatedColon;Die Ergebnis-TRX-Datei wurde nicht erstellt:
TheFileHasNotCreatedColon;Datei nicht erstellt:
TheFolderHasNotBeenCreated;Der Ordner wurde nicht erstellt:
TheContentSeedHasNotBeenCreated;Der Inhalts-Seed wurde nicht erstellt:
NotCreated;Nicht erstellt: {0}
CannotFindParameterBetweenQuotesNiParameterBetweenQuotes;'{0}' ni '{1}' nicht gefunden
TheGitDirectoryHasNotBeenSpecified;Das GIT-Verzeichnis wurde nicht angegeben.
TheEnUserLicenseAgreementEulaBetweenParenthesesFileHasNotBeenSpecified;Die EULA-Datei (End User License Agreement) wurde nicht angegeben
TheNugetDotExeLocationHasNotBeenSpecified;Nuget.exe-Speicherort nicht angegeben
TheReleaseModeHasNotBeenSet;Der ReleaseMode wurde nicht eingestellt.
TheUpgradeCodeHasNotBeenSet;Der UpgradeCode wurde nicht festgelegt.
TheBackupFolderHasNotBeenSet;Sicherungsordner nicht festgelegt
ItHasNotBeenSigned;Nicht signiert
TheExecutableHasNotBeenSignedColon;Die ausführbare Datei wurde nicht signiert:
TheThemeAssemblyHasNotBeenGenerated;Die Themenassemblierung wurde nicht generiert.
TheMsiFileHasNotBeenGenerated;Die MSI-Datei wurde nicht generiert.
TheWixobjFileHasNotBeenGenerated;WIXOBJ-Datei nicht generiert.
TheWxsFileHasNotBeenGenerated;WXS-Datei nicht generiert.
LaunchApplicationOnFinishWasNotReportedCorrectly;LaunchApplicationOnFinish wurde nicht korrekt gemeldet
TheManofacturerOfTheMsiCompanyBetweenParenthesesHasNotBeenInformed;Der Hersteller des MSI (Company) wurde nicht informiert
TheFileHasNotBeenModifiedCorrectly;Die Datei wurde nicht korrekt geändert:
TheReleasesFileHasNotBeenModified;Die RELEASES-Datei wurde nicht geändert
TheFolderParameterHasNotBeenFound;Der Ordner {0} wurde nicht gefunden
TheLibraryHasNotBeenObfuscatedColon;Die Bibliothek wurde nicht verschleiert:
CouldNotDetermineTheAssemblyNameParameterBetweenParentheses;Baugruppenname konnte nicht ermittelt werden ({0})
CouldNotDetermineTheFinalVersion;Die endgültige Version kann nicht ermittelt werden
CouldNotDetermineTheInitialVersion;Die ursprüngliche Version konnte nicht ermittelt werden
TheGitCredentialsHaveNotBeenSpecified;GIT-Anmeldeinformationen nicht angegeben.
CouldNotDownloadTheLogs;Protokolle konnten nicht heruntergeladen werden
NotAllTestsHaveBeenPassed;Nicht alle Tests wurden bestanden ({0}).
CannotUploadTheFileBecauseItDoesNotExists;Die Datei kann nicht hochgeladen werden, da sie nicht vorhanden ist.
NotAllProjectsHaveTheSameVersion;Nicht alle Projekte haben dieselbe Version.
NugetSpecDoesNotHaveTheExpectedFormat;NugetSpec hat nicht das erwartete Format.
NugetPackageColonParameter;Nuget-Paket: {0}
InstalledPrograms;Installierte Programme
PropertyParameterBetweenQuotesNotFoundInParameter;Eigenschaft '{0}' in {1} nicht gefunden
SetVersionVersionUpperCasseBetweenSquareBracketsParenthesesParameterProjects;Setze Version [VERSION] ({0} Projekte)
SetVersionParameterParenthesesParameterProjects;Setze Version {0} ({1} Projekte)
SetVersionColonFromParameterToParameterParenthesesInParameterProjects;Version einstellen: Von {0} bis {1} (in {2} Projekten)
TheReleaseFileIsOnlyUpdatedInDeployMsiAllUpperCase;NUR DIE FREIGABEDATEI WIRD IN DEPLOY MSI AKTUALISIERT
ItIsOnlyAllowedTransformToHtmlFromTestResultFileDotTrxBetweenParentheses;Es ist nur zulässig, aus einer Testergebnisdatei (.trx) in HTML umzuwandeln.
ReplaceTheMainColorWithParameter;Ersetzen Sie die Hauptfarbe durch {0}
TrxerColonCreateParameter;Trxer: Erstelle {0}
TheFileAlreadyExistsColon;Die Datei existiert bereits:
TheAssemblyNameCannotContainSpacesNorDots;Der Assemblyname darf keine Leerzeichen oder Punkte enthalten.
CredentialsAreMissingToPublishTheCalendar;Zum Veröffentlichen des Kalenders fehlen Anmeldeinformationen.
Customer;Kunde
PurchaseInvoice;Rechnung kaufen
Provider;Verkäufer
NewCompanySl;Neue Firma SL
PageParameterBetweenParenthesesColonParameterXParameterPx;- Seite ({0}): {1} x {2} px
AskEnsureWantDeleteParameterBetweenQuotes;Möchten Sie '{0}' wirklich löschen?
Period;Übung
TheCustomerMustHaveACode;Der Kunde muss einen Code haben.
TheLoadedReportNotUseSameCatalogAsCurrentReportAskWantContinueLoading;Der geladene Bericht verwendet nicht denselben Katalog wie der aktuelle Bericht.|Möchten Sie weiter aufladen?
ThePeriodMustHaveACode;Der Punkt muss einen Code haben.
TheProviderMustHaveACode;Der Anbieter muss einen Code haben.
TheReceibtMustHaveACode;Die Quittung muss einen Code haben.
GeneratingPdfOfParameterPages;PDF von {0} Seiten generieren.
ReportLoadedSuccessfully;Bericht erfolgreich geladen.
TheInvoiceMustHaveACode;Die Rechnung muss einen Code haben.
TheSerieMustHaveACode;Die Serie muss einen Code haben
CouldNotLoadTheReport;Der Bericht konnte nicht geladen werden
TheActionNameMustBeSpecified;Der Name der Aktion muss angegeben werden.
TheInvoiceDateMustBeSpecified;Das Datum der Rechnung muss angegeben werden
TheReceibtDateMustBeSpecified;Sie müssen das Eingangsdatum angeben
AnItemMustBeSelected;Ein Element muss ausgewählt werden.
SelectTheReportFile;Wählen Sie die Berichtsdatei aus
SelectAnItem;Wählen Sie einen Artikel aus
Serie;Serie
CustomerColon;Kunde:
Customers;Kunden
ClientCodeColon;Kundencode:
PeriodCodeColon;Übungscode:
ProviderCodeColon;Lieferantencode:
SerieCodeColon;Seriennummer:
CompanyCodeColon;Buchungskreis:
Connect;Verbinden
ConfigureScanner;Scanner einrichten
Disconnect;Trennen
DocumentsDirectory;Dokumentenverzeichnis
DocumentColon;Dokument:
PeriodColon;Übung:
Periods;Übungen
Company;Firma
ItIsCurrentPeriod;Es ist eine aktuelle Übung
ScanDocument;Dokument scannen
PurchaseInvoices;Rechnungen kaufen
AmountColon;Betrag:
ReportColon;Bericht:
NewFeminine;Neu
CollectionNumberColon;Sammlungsnummer:
InvoiceNumberColon;Rechnungsnummer:
ReceiptNumberColon;Belegnummer:
ProviderColon;Lieferant:
Providers;Lieferanten
CollectionReceipts;Sammelbelege
PaymentReceipts;Zahlungsbelege
SummaryColon;Zusammenfassung:
SerieColon;Serie:
Series;Serie
DocumentTypeColon;Art des Dokuments:
ShowDocument;Siehe Dokument
ImageColon;Bild:
SelectAlreadyExistingDocument;Vorhandenes Dokument auswählen
SelectLocalDocument;Wählen Sie ein lokales Dokument aus
CouldNotExecuteTheReportDueTheFollowingErrorColonParameter;Der Bericht konnte aufgrund des folgenden Fehlers nicht ausgeführt werden:||{0}
ThereWasAnErrorRenamingTheFileColonParameter;Beim Umbenennen der Datei ist ein Fehler aufgetreten:||{0}
ItWasNotPossibleToOpenTheProjectColonParameter;Das Projekt konnte nicht geöffnet werden:||{0}
TheProcedureParameterBetweenQuotesHasNotBeenFoundCheckNoErrorInFileWhereIsDefined;Die Prozedur '{0}' wurde nicht gefunden.|Stellen Sie sicher, dass in der Datei, in der sie definiert ist, kein Fehler vorliegt.
TheFollowingFilesHaveBeenRestoredColonParameter;Die folgenden Dateien wurden wiederhergestellt:||{0}
GeneralBetweenParentheses;(Allgemein)
ParameterParenthesesLineParameter;{0} (Zeile {1})
ParameterFiles;{0} Dateien
ParameterVisibles;{0} sichtbar
ParameterVisible;{0} sichtbar
DoubleHyphenParameter;- {0}
AskEnsureWantDeleteTheFile;Möchten Sie die Datei wirklich löschen?
AskWantRenameThisFileToParameter;Möchten Sie diese Datei in '{0}' umbenennen?
ManageEnvironments;Umgebungen verwalten
Files;Archiv
ProjectFiles;Projektdateien
AttributesOfParameter;Attribute von {0}
AutoRename;Automatischer Name
DeleteParameterColumns;Löschen Sie {0} Spalten
DeleteParameterRelationships;Löschen Sie {0} Beziehungen
Load;Laden
CloseAll;Schließen Sie alle
CloseAllSaved;Schließen Sie alle gespeicherten
CloseAllTemporals;Schließen Sie alle Stürme
CopyingSiteResources;Kopieren von Site-Ressourcen
ConvertTo;Biegen Sie in
CreatingTheHtmlFile;Erstellen der HTML-Datei
CronoEtlCannotDetermineADefaultNameForThisFile;Crono ETL kann keinen Standardnamen für diese Datei ermitteln
YouMustSelectAnEnvironment;Sie müssen eine Umgebung auswählen
DropProcedureParameter;TROPFENVERFAHREN {0}
DropTableParameter;TROPFENTABELLE {0}
DropViewParameter;DROP VIEW {0}
EditSQLFreely;Bearbeiten Sie freies SQL
SqlEditor;SQL-Editor
ExecuteThisJob;Führen Sie diesen Job aus
TheSelectedDirectoryIsAlreadyAWebDirectory;Das ausgewählte Verzeichnis ist bereits ein Webverzeichnis.
TheFileNameAlreadyMatchesTheDefaultName;Der Dateiname stimmt bereits mit dem Standardnamen überein.
TheProcedureParameterBetweenQuotesNotFoundProbablyHasBeenDeletedOrRenamedUpdateOneLevelAboveElipsis;Die Prozedur '{0}' wurde nicht gefunden, wurde wahrscheinlich gelöscht oder umbenannt. Aktualisieren Sie eine Ebene darüber ...
TheProcedureDoesNotExist;Das Verfahren existiert nicht.
TheParentProcedureCannotBeNull;Die übergeordnete Prozedur darf nicht null sein.
TheProjectHasBeenModifiedByExternalApplicationAtThisTimeIsRecommendedCloseAndReopenProject;Das Projekt wurde von einer externen Anwendung geändert. Zu diesem Zeitpunkt wird empfohlen, das Projekt zu schließen und erneut zu öffnen
ErrorReloadingTheFile;Fehler beim erneuten Laden der Datei.
ThisProjectDoesNotHaveMainProcedure;Dieses Projekt hat kein HAUPTVERFAHREN.
ThisProjectHaveSeveralMainProcedure;Dieses Projekt hat mehrere Hauptverfahren.
Strategy;Strategie
ExcludeFromTheProject;Vom Projekt ausschließen
ExecuteFromHere;Von hier aus ausführen
HtmlFileCreatedSuccessfully;HTML-Datei erfolgreich erstellt
_Function;Funktion
GeneratingFile;Datei generieren
GeneratingHtml;HTML generieren
GenerateStaticWeb;Generisches statisches Web generieren
TheGenerationOfTheStaticWebHasFinished;Die statische Webgenerierung ist abgeschlossen.
ExecutionHistory;Ausführungsverlauf
ProjectImplementation;Projektdurchführung
ImplementParameter;Implementiere {0}
ImplementFlow;Flow implementieren
ImplementFlowAndExecute;Flow implementieren und ausführen
ImplementProject;Projekt umsetzen
ImplementProjectAndExecute;Projekt umsetzen und ausführen
IncludeInTheProject;In das Projekt aufnehmen
Index;Index
Indices;Indizes
SqlReports;SQL-Berichte
RepeatedInstruction;Wiederholte Anweisung
GoToDefinition;Zur Definition gehen
LineParameterColumnParameter;Zeile {0}, Spalte {1}
TheNamesOfTheTablesOfThisDatabaseHaveBeenCopiedIntoTheClipboard;Die Namen der Tabellen in dieser Datenbank wurden in die Zwischenablage kopiert.
TheNamesOfTheTablesOfThisSchemeHaveBeenCopiedIntoTheClipboard;Die Namen der Tabellen in diesem Schema wurden in die Zwischenablage kopiert.
TheNamesOfTheFieldsOfThisTableHaveBeenCopiedIntoTheClipboard;Die Namen der Felder in dieser Tabelle wurden in die Zwischenablage kopiert.
TheFollowingParameterFilesHaveCrossDependenciesColon;Die folgenden {0} -Dateien sind voneinander abhängig:
ShowProjectFiles;Projektdateien anzeigen
ShowDiagram;Diagramm anzeigen
ShowCallFlowOfTheMainProcedures;Anrufverlauf der Hauptprozeduren anzeigen
ShowProcedureList;Prozedurliste anzeigen
ItIsNotPosibleToSortTheFilesOfThisDeploy;Es ist nicht möglich, die Dateien dieser Bereitstellung zu sortieren.
ItIsNotPossibleToAutomaticallyRenameThisFileAnotherFileCalledParameterBetweenParenthesesAlreadyExists;Es ist nicht möglich, diese Datei automatisch umzubenennen. Eine andere Datei mit dem Namen '{0}' ist bereits vorhanden
DoesNotExistsSelectedProject;Es ist kein Projekt ausgewählt.
ItWasNotPossibleToObtainTheKeyListOfTableParameter;Es war nicht möglich, die Liste der Schlüssel aus Tabelle {0} zu erhalten.
ItWasNotPossibleToObtainTheColumnListOfTableParameter;Die Liste der Spalten in Tabelle {0} konnte nicht abgerufen werden.
CatalogNotDefined;Katalog nicht definiert
NoItemWithIdParameterBetweenQuotesHasBeenFound;Kein Artikel mit der ID '{0}' gefunden
TheVisualizationModeParameterHasNotBeenImplemented;Anzeige im Modus {0} nicht implementiert
CouldNotOpenProjectColonParameterBetweenQuotes;Projekt konnte nicht geöffnet werden: '{0}'
CouldNotGenerateTheWeb;Das Web konnte nicht generiert werden.
CannotCreateTheFileWithTheEnteredParameters;Sie können die Datei nicht mit den eingegebenen Parametern erstellen.
CannotRenameFileBecauseAnotherFileNamedParameterBetweenQuotesAlreadyExists;Sie können diese Datei nicht umbenennen, da bereits eine andere Datei mit dem Namen '{0}' vorhanden ist
AttributeName;Attributname
NewColumn;Neue Spalte
NewPage;Neue Seite
NewAttribute;Neues Attribut
NewJob;Neuer Job
Sources;Ursprünge
Others;Andere
Pages;Seiten
ProblemParsingColonParameter;Problemanalyse: {0}
Procedure;Vorgehensweise
Procedures;Verfahren
ReloadingSiteComponents;Site-Komponenten neu laden
Restriction;Einschränkung
Restrictions;Einschränkungen
Routes;Routen
TheItemIdMustBeSpecified;Die Artikel-ID muss angegeben werden.
AnEnvironmentMustBeSelected;Eine Umgebung muss ausgewählt werden.
ASiteMustBeSelected;Eine Site muss ausgewählt werden.
ATemporaryCopyOfTheModifiedFilesHasBeenSavedCanRecoverFilesNextTimeOpenThisProject;Eine temporäre Kopie der geänderten Dateien wurde gespeichert. Sie können diese Dateien beim nächsten Öffnen dieses Projekts wiederherstellen.
TheStaticWebGenerationHasStarted;Die statische Webgenerierung hat begonnen.
SelectTheWebOfTheNewFile;Wählen Sie das Web der neuen Datei aus
SelectTheKeysToDelete;Wählen Sie die zu löschenden Schlüssel aus
SelectTheColumnsToDelete;Wählen Sie die zu löschenden Spalten aus
FileSizeBytesBetweenParentheses;Dateigröße (Bytes)
Tasks;Aufgaben
TemporaryParameter;Temporär {0}
HasErrors;Hat Fehler
Jobs;Funktioniert
TruncateTableAndDependencies;TRUNCATE TABLE und Abhängigkeiten
UseTableRow;Verwenden Sie die TABELLENREIHE
Variables;Variablen
Show;Siehe
Web;Web
ParenthesesNoneSelected;(Keine ausgewählt)
OpenWindowsTaskScheduler;Öffnen Sie den Windows Task Scheduler
OpenProject;Projekt öffnen
OpenElipsis;Öffnen Sie ...
AttributesColon;Attribute:
ChangeType;Typ ändern
JobsFolderColon;Jobordner:
Code;Code
SmtpAccount;SMTP-Konto
Details;Details
ExecuteMainProcedure;Hauptprozedur ausführen
DeleteEnvironment;Umgebung löschen
ProjectEnvironment;Projektumgebung
EndTimeColon;Endzeit:
StartTimeColon;Startzeit:
Implementation;Implementierung
ImplementMainProcedure;Hauptverfahren implementieren
ImplementMainProcedureAndExecute;Hauptprozedur implementieren und ausführen
Bottom;Senken
Instruction;Anleitung
CheckBoxesOfButtonsYouWantToUseInProject;Aktivieren Sie die Kontrollkästchen der Schaltflächen, die Sie in Ihrem Projekt verwenden möchten
EditEnvironment;Umgebung ändern
NavigateBackwards;Rückwärts navigieren
NavigateForward;Vorwärts navigieren
ItIsNotPossibleRepresentDiagramOfThisTypeOfQuery;Es ist nicht möglich, das Diagramm dieser Art von Abfrage darzustellen
NewSqlAction;Neue SQL-Aktion
NewProject;Neues Projekt
NewEtlProject;Neues ETL-Projekt
ProcedureColon;Vorgehensweise:
Processes;Prozesse
ComponentPropertiesColon;Komponenteneigenschaften:
Project;Projekt
RecentProjects;Aktuelle Projekte
UrlPathOfThePageColon;URL-Pfad der Seite:
EnvironmentSubstitutionsColon;Umweltsubstitutionen:
Text;Text
Components;Komponenten
DeleteTableAndDependences;TABELLE LÖSCHEN und Abhängigkeiten
DropTableAndDependences;DROP TABLE und Abhängigkeiten
ThereAreColumnsThatUseQueryFieldsThatHaveBeenDeletedAskWantDeleteTheseColumns;Es gibt Spalten, die gelöschte Abfragefelder verwenden.|Löschen diese Spalten löschen?||{0}
TheFollowingPropertiesWillBeLostAskChangeToParameterLineBreakParameter;Die folgenden Eigenschaften gehen verloren.|Zu {0} wechseln?||{1}
TheNameOfTheUpdateDateColumnIsNotValid;Der Name der Spalte für das Aktualisierungsdatum ist ungültig.
